year,BG,CZ,EU27_2020,HU,PL,RO
1995,7.497291440953413,43.44142259414226,54.925639776339295,17.78620689655172,6.764406779661018,14.633620689655173
1996,6.6771488469601685,44.57309184993532,55.972626695475604,21.91592005513439,10.350083752093802,17.973451327433626
1997,6.053215077605322,41.031535514294134,58.692967646349445,29.292168674698797,10.445901639344264,16.796208530805686
1998,7.820069204152249,34.968907314184186,61.378269238026945,29.418407679277244,15.215311004784688,19.06077348066298
1999,8.511363636363637,36.365781710914455,61.066159107332865,33.220159151193634,19.725694444444446,19.037634408602152
2000,10.341409691629957,35.15864332603939,59.59538250432317,29.142036124794746,27.923228346456696,25.07954545454545
2001,13.40402969247084,33.31185567010309,60.78772884246828,28.057577763070814,29.32336448598131,26.578034682080926
2002,12.937062937062937,32.16722729456992,60.84064690370681,29.01629265293575,32.91836734693877,28.83815028901734
2003,14.932003626473255,34.34011976047904,61.01340317641258,25.55615405332615,35.375451263537904,25.35135135135135
2004,14.586404586404585,34.174666354483726,63.42551781496982,28.531781557743958,36.44556113902848,17.965384615384615
2005,17.661927330173775,39.99180495800041,64.6529808334707,27.893599783958955,32.610759493670884,18.71374045801527
2006,21.956363636363633,41.02866473149492,65.75088375116817,26.15020297699594,28.773195876288664,19.240625
2007,24.71571906354515,43.140325897800984,70.4620741283717,28.43150684931507,27.065608465608463,52.24290220820189
2008,40.694752402069476,42.116170872691384,71.05792953347793,29.596827495042962,27.580979284369114,55.49074074074075
2009,40.52384150436534,37.97853309481216,68.89292129877606,28.695652173913043,27.774299835255356,41.27217125382263
2010,25.471162937283328,39.46398874248433,70.12951456451134,31.789231091556672,30.28975265017668,59.6437125748503
2011,26.7954133977067,44.18374004958894,73.30468030476403,29.38639551192146,33.36188077246012,52.528846153846146
2012,25.452456190749782,42.92406497922176,74.45125175562389,35.82169924212206,33.636675824175825,63.86610878661089
2013,24.72198938250908,41.951636541279925,76.74448767833982,33.441615452151005,33.32190476190476,79.30265848670757
2014,22.897874546397098,40.78785772216429,77.31120615478059,31.76073251275893,34.235734870317,74.95490196078431
2015,19.81718061674009,43.154444444444444,,30.266087428726586,37.57518796992481,57.82175622542596
2016,23.070433588385328,43.43880534670008,,30.11146891255883,41.41505488761108,65.61707988980717
2017,23.386540903319425,45.59680126369829,,30.958710739912952,38.67014993184916,71.66748166259168
2018,23.367052023121385,50.465753424657535,,33.8672180619202,39.06701444622793,71.89529411764707
2019,26.356216295000728,57.65589849725547,,35.25509676084032,37.33994528043776,84.08156424581006
2020,25.911041747951618,56.79663345929234,,34.06848306332842,40.693456162642946,77.44198895027625
2021,25.534202699611072,63.76338645754279,,38.81561934316007,46.02509162672681,80.64224872231686
2022,21.384583158776707,63.177736491716985,,41.77080698203896,49.35204896221394,95.57037643207856
2023,21.079835229501768,62.14016524133933,,42.05811911224652,41.435319148936166,114.21677662582469
2024,19.14849708389412,66.11151130960957,,42.327124651232936,,
