year,BG,CZ,HU,PL,RO
2010,0.4368,1.3457000000000001,1.2464000000000002,1.5155,
2011,0.5382,1.6709,1.2154,1.8674000000000002,
2012,0.5802999999999999,1.9629,1.2665,2.2386,
2013,0.5802,2.0062,1.4022000000000001,2.5711,1.9038
2014,0.6798,2.2068000000000003,1.5279,3.1967,2.3069
2015,0.7884,2.4748,1.6397,3.9640999999999997,2.7352
2016,0.9832000000000001,2.9360999999999997,1.7415,4.8148,3.3788
2017,1.0207,3.3918000000000004,2.1606,5.6448,4.0105
2018,1.2467000000000001,3.6134,2.3775,6.791300000000001,4.7961
2019,1.6659000000000002,4.1083,2.5245,7.6934,5.592899999999999
2020,1.7659,4.5908999999999995,2.5286,8.257,6.1393
2021,2.3411,5.3311,2.6175,9.809899999999999,6.993399999999999
2022,3.0233000000000003,6.5442,3.2569,12.8448,9.3945
2023,3.6327,6.5993,3.4888000000000003,15.570200000000002,10.219700000000001
2024,4.04,7.046399999999999,3.9979,18.286,10.1677
2025,4.2406999999999995,7.6276,4.3037,19.5544,11.5196
