year,exports,imports,balance
2013,1.9038,0.9106000000000001,0.9931999999999999
2014,2.3069,1.0061,1.3008000000000002
2015,2.7352,1.2503,1.4848999999999999
2016,3.3788,1.4155,1.9633
2017,4.0105,1.9176,2.0929
2018,4.7961,2.0883000000000003,2.7077999999999998
2019,5.592899999999999,2.5109,3.0819999999999994
2020,6.1393,2.7249,3.4144000000000005
2021,6.993399999999999,3.0645,3.9288999999999996
2022,9.3945,3.5705,5.824000000000001
2023,10.219700000000001,4.1046000000000005,6.115100000000001
2024,10.1677,3.8436999999999997,6.324
2025,11.5196,4.4029,7.116700000000001
