year,BG,CZ,HU,PL,RO
2010,8.71925902267646,8.12635494604371,8.401526079512518,5.760627035985388,
2011,10.111219658826181,9.315745164833327,7.50724225896712,6.482182156469339,
2012,9.975418149313253,10.405644673925723,7.84448532372051,7.155917553191489,
2013,9.853103506835359,11.10311697511733,8.23457558638024,7.795393286702261,13.970690755920186
2014,9.593970955586602,11.665759188873443,8.149799708764274,8.869473053360561,14.787725719706927
2015,10.814369779021439,11.789028410281817,8.09600458199198,9.92993609831491,15.927327781983347
2016,12.26240957844849,13.330336833789616,7.971930017303413,10.888827576224958,17.894859491351276
2017,12.412442844634691,13.796329439328368,9.081776339295097,11.0114722343059,18.448071243916576
2018,13.591418012144734,13.680384659069396,9.364291622356138,11.707280914061908,20.1929149439612
2019,16.285412634172094,14.838157429011028,9.36564409439471,12.218281842827034,20.693597560975608
2020,23.049312136163106,19.84438825131297,12.728663908101524,14.165088383838384,25.85360307246572
2021,24.081674638687442,20.552370745322698,11.494934324071512,14.265604709297165,25.074307923429668
2022,23.092199231609424,19.84474027352397,11.00631268755576,14.121325457369863,25.982951842550694
2023,24.052359418140405,18.0241275806597,10.111086315777271,15.485509747192605,25.7462733568634
2024,26.37592217797219,17.914728090916025,11.117043315286455,16.72089114687062,25.64880682104838
2025,25.804743881512493,18.18819136277902,11.311951973421367,16.899899055547106,26.024642939440906
