year,ict_eur,total_eur,premium_x
1995,736.6071428571429,1528.449986671011,0.4819308117902407
1996,786.3636363636364,1566.661703394878,0.5019358261324863
1997,1098.0392156862747,1451.320687026324,0.7565793180665649
1998,2103.4482758620693,2265.5361788226223,0.928454948335988
1999,2179.7752808988757,1948.5513314352702,1.1186645410533218
2000,3779.7619047619046,2720.1196912509777,1.3895572010743393
2001,6000.0,3235.262603045124,1.8545635196205168
2002,6094.674556213018,3135.1994264859222,1.9439511581705708
2003,5491.620111731843,3325.4012643853494,1.6514157766602302
2004,4614.457831325301,3619.24470569289,1.2749781257031312
2005,6474.10358565737,5134.151558027048,1.2609880157385223
2006,6446.3087248322145,5930.792297979798,1.0869220166465814
2007,8241.721854304637,6726.767127543886,1.225212899158871
2008,9726.415094339623,8310.86300448781,1.170325523244388
2009,14902.82131661442,6958.254146159218,2.1417471974403814
2010,19015.432098765436,7406.150345612191,2.5675190498976597
2011,21901.76322418136,7471.041344999142,2.9315542790887705
2012,21304.824561403508,7323.852574195406,2.9089641477039208
2013,24455.69620253165,7747.244548445078,3.156696042006324
2014,29483.935742971888,8187.749311524661,3.600981737615219
2015,23192.513368983957,8335.765476537927,2.7822895730766706
2016,32231.884057971016,9527.377429925871,3.383080422187263
2017,33056.746532156365,10757.32495900498,3.072952305348412
2018,37348.30097087379,11936.792380952382,3.128838952621034
2019,40722.8637413395,12985.147400795138,3.1361110108650636
2020,38441.00580270793,13247.052192194022,2.901853578063181
2021,42301.85348631951,13856.518439823949,3.052848640878146
2022,55167.51269035533,15723.533721051923,3.5085950568791455
2023,68519.92225461612,18859.570742898544,3.6331644653374138
