year,BG,CZ,EU27_2020,HU,PL,RO
2000,1.6162989612311045,1.8799170252377357,1.7656799574114654,2.270142543450783,2.1625317926020866,1.3895572010743393
2001,1.827754466302221,1.997640529158895,1.7700685632184205,2.065585765921353,2.1384051997335565,1.8545635196205168
2002,1.6937863417676229,1.9546229620800262,1.7763748754900104,1.9192912696065068,1.8973789834828592,1.9439511581705708
2003,1.8284056010078165,2.0311634341665714,1.777492685573636,1.8144126502738318,1.8427203623417827,1.6514157766602302
2004,1.0255342984436764,2.0623195576409694,1.7720895795626315,1.8953208529705936,1.899058179129472,1.2749781257031312
2005,1.00026049596882,2.037728269400055,1.7713460165297932,1.9843028343197335,1.7976434002334558,1.2609880157385223
2006,1.0986493214657074,1.985179957520974,1.731984252474119,1.7088602041415935,1.5468622307779059,1.0869220166465814
2007,1.17954573054659,1.924897715261621,1.7119556870208152,1.8390779666735204,1.2509864783119788,1.225212899158871
2008,4.089955821843556,1.9001932481069017,1.72001841370663,1.881579653959282,1.5533587417761425,1.170325523244388
2009,4.284689921208352,1.8072365573251568,1.6937014876498442,1.804556168639088,1.3419976592387746,2.1417471974403814
2010,2.4110423571581747,1.8184422462261494,1.6954736320076211,1.8989253897048533,1.5719972651951446,2.5675190498976597
2011,2.5963574450270377,1.8317020366350405,1.6925957706499193,1.7369481888278901,1.7797565590705695,2.9315542790887705
2012,2.7180289566354436,1.8412393163197784,1.6923729031047423,2.2196724118423234,1.56440184788993,2.9089641477039208
2013,2.849154473431983,1.8769086331160614,1.6791354358369137,2.079051243014357,1.8234946987666156,3.156696042006324
2014,2.762936081170736,1.8769190078057607,1.6932833809677186,1.9771088644915815,1.8050119072265445,3.600981737615219
2015,2.7692248774509802,1.8733989253171706,,1.8552472669197964,1.8536813954251619,2.7822895730766706
2016,2.864880538542696,1.8348789425742575,,1.81884846007292,2.1533781760088027,3.383080422187263
2017,2.8647905471155783,1.8306741757493863,,1.7442072265948296,2.029526332541746,3.072952305348412
2018,2.798651936927094,1.8144088625600021,,1.7842618364978644,2.0123875518286827,3.128838952621034
2019,2.8394178927217255,1.7689742023601367,,1.764406028441154,1.719593049997408,3.1361110108650636
2020,2.6993364971879323,1.74484921072408,,1.6396398850579375,1.718649247037432,2.901853578063181
2021,2.613846403327365,1.8047024692800946,,1.7140954929541692,1.6967755543059269,3.052848640878146
2022,2.71431377304089,1.852106375224238,,1.7060344777842533,1.9969708589715638,3.5085950568791455
2023,2.6284014568861926,1.8420159917976655,,1.6727609389771485,1.662784262948649,3.6331644653374138
2024,2.432073048927428,1.8575701245095657,,1.6494838178741373,,
