year,BG,CZ,EU27_2020,HU,PL,RO
2004,26.4,26.5,23.2,38.4,32.0,
2005,26.5,28.3,22.9,37.6,30.7,32.2
2006,28.3,28.9,23.1,33.0,31.3,31.1
2007,28.9,28.6,23.1,32.6,30.6,28.5
2008,31.3,27.8,23.1,33.8,30.2,32.3
2009,30.6,23.5,22.9,36.0,30.3,32.3
2010,31.1,21.3,22.5,38.4,29.8,29.3
2011,33.0,10.7,16.9,9.5,14.2,21.7
2012,32.4,11.0,17.0,10.9,16.1,21.3
2013,29.8,10.6,16.7,10.4,14.4,23.5
2014,31.6,9.9,16.2,11.7,14.1,21.5
2015,30.9,9.8,16.5,12.1,13.6,27.3
2016,29.1,10.0,17.0,13.2,14.6,26.3
2017,29.2,10.1,17.2,9.1,14.8,25.7
2018,30.1,9.7,17.2,8.5,14.0,23.6
2019,28.3,10.2,17.8,10.6,14.4,23.4
2020,28.4,10.3,18.4,12.1,15.2,26.1
2021,28.2,10.0,19.1,13.5,15.6,25.9
2022,28.9,10.9,18.9,13.3,16.7,25.2
2023,29.1,12.4,19.4,15.3,19.1,26.0
2024,27.0,13.0,19.5,15.2,17.5,27.3
2025,25.0,12.9,19.5,15.0,16.6,27.8
