# NUTS2 employment in NACE J — LFS
# Source: Eurostat dataset lfst_r_lfe2en2
# URL: https://ec.europa.eu/eurostat/databrowser/view/lfst_r_lfe2en2/default/table
# Filters: nace_r2=J (information & communication), sex=T, age=Y_GE15, unit=THS_PER, geo=RO NUTS2 regions
# Notes: LFS-sourced — small NUTS2 cells are sample-noisy.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42
2008,13.9,9.6,12.3,9.3,11.0,46.1,7.2,9.6
2009,11.7,11.6,16.1,10.9,9.8,51.0,,7.7
2010,8.7,10.7,12.2,9.0,8.5,54.5,,8.0
2011,9.7,9.8,12.1,8.8,10.6,53.3,6.6,9.6
2012,14.3,10.3,17.4,8.9,10.1,70.9,,8.5
2013,15.7,11.3,18.6,,10.8,68.4,,8.6
2014,16.5,12.8,16.8,,11.0,68.0,10.0,7.7
2015,21.4,22.6,17.4,8.2,11.0,73.6,7.5,11.0
2016,18.2,20.2,17.0,10.0,11.4,76.6,,8.7
2017,16.3,22.2,16.4,11.1,12.2,93.6,,8.7
2018,16.0,15.9,19.7,8.3,10.2,95.2,8.4,11.8
2019,13.1,12.3,21.0,,10.5,96.2,6.8,11.3
2020,18.1,15.2,21.0,8.2,10.9,102.7,,9.3
2021,22.1,13.3,24.1,,10.1,105.8,6.6,10.1
2022,19.3,14.1,17.6,,10.6,120.4,,9.2
2023,19.0,12.1,16.3,6.7,8.9,105.3,6.8,7.2
2024,24.3,20.1,16.8,7.0,12.0,99.7,10.5,16.1
2025,23.0,19.6,16.3,,11.6,102.6,13.0,12.7
