year,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42
2000,52.25,53.66,56.67,45.93,53.36,251.38,36.19,42.77
2001,71.6,70.37,65.87,57.88,58.03,325.3,42.99,58.03
2002,72.95,67.35,66.52,57.72,62.36,335.75,41.19,57.53
2003,72.41,69.56,68.2,59.71,67.93,338.21,41.94,61.52
2004,79.83,70.06,74.38,63.69,53.2,389.06,40.68,65.98
2005,94.15,70.76,90.03,85.42,57.14,644.12,42.81,71.67
2006,85.57,73.09,86.45,78.62,56.89,850.02,47.65,86.39
2007,115.28,102.84,112.1,97.53,76.6,1007.44,62.96,116.39
2008,107.91,88.36,106.01,87.0,62.16,1399.28,50.75,189.89
2009,81.3,69.93,58.07,45.64,31.7,972.29,33.89,134.77
2010,93.78,82.38,60.11,41.97,31.48,1029.34,34.54,119.11
2011,126.04,101.81,65.84,44.02,36.87,1208.23,36.07,129.91
2012,168.43,107.03,76.76,43.17,40.75,1216.51,35.72,124.62
2013,220.71,121.97,100.93,60.87,53.13,1331.32,44.33,151.98
2014,274.48,156.94,115.26,70.91,57.43,1651.03,50.36,179.24
2015,320.89,173.6,141.63,72.46,59.86,1760.74,56.71,224.77
2016,473.39,228.22,150.7,76.39,60.15,2065.41,62.36,295.9
2017,566.36,256.68,228.4,96.2,73.56,2361.45,70.68,369.02
2018,672.28,281.05,306.96,95.23,80.34,2657.22,80.6,430.55
2019,762.8,309.0,386.47,93.99,105.56,2984.47,93.67,501.91
2020,856.66,337.18,407.06,96.03,101.21,3230.1,92.12,538.76
2021,1089.14,387.48,524.05,113.16,118.91,3598.94,117.73,708.42
2022,1472.55,525.95,713.58,143.53,142.56,4600.25,144.22,955.02
2023,1606.51,609.46,756.14,160.31,159.02,4897.29,160.29,1063.96
