# Hub share of national NACE-J compensation
# Source: Eurostat dataset nama_10r_2coe
# URL: https://ec.europa.eu/eurostat/databrowser/view/nama_10r_2coe/default/table
# Filters: Hub NUTS2 compensation / national (sum across RO NUTS2) × 100, nace_r2=J
# Notes: Derived from nama_10r_2coe.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,RO32,RO11,RO42,RO21
2000,42.447780348187294,8.822883774336805,7.222100268485841,9.569240640988838
2001,43.36928553335023,9.545775727598757,7.736611249616704,8.781847027610757
2002,44.098138881227264,9.58141245386606,7.556115948881622,8.73688219919356
2003,43.38918253194437,9.2895263509006,7.8924411145892135,8.74942269205111
2004,46.489341363158395,9.539002007456265,7.884045502342032,8.887773635407704
2005,55.7149035550558,8.143759190381456,6.199290718795952,7.787388634201195
2006,62.287129583492096,6.270334437377261,6.330421783861418,6.3348184189700145
2007,59.5716498929716,6.816703525432548,6.882339723500124,6.628664687725438
2008,66.90765817458497,5.159800321322011,9.079737587024713,5.068950348098846
2009,68.10708957053497,5.694912404822113,9.440385544869326,4.067694506125709
2010,68.95780158235692,6.282533110919067,7.979446778007786,4.026904087197112
2011,69.0894847294415,7.2072690260122725,7.428564893440607,3.7648888660159314
2012,67.09965305931085,9.290178103574757,6.873727930104412,4.2338898725310115
2013,63.844929120868585,10.584393163376879,7.2883696840651435,4.840210239588729
2014,64.60313423199577,10.740124821473987,7.013479936611038,4.510007238862911
2015,62.64507268755381,11.416891406288912,7.997054072708901,5.039029978723858
2016,60.524480442605466,13.872153130238063,8.671011451947534,4.416091334263242
2017,58.7082178328589,14.080326177483315,9.17423893992318,5.678272651559412
2018,57.71258169118396,14.601355709858108,9.35118358552896,6.666912817126858
2019,56.97869553845361,14.563171670927305,9.58233022201773,7.378380906742627
2020,57.07777887728127,15.137689252039186,9.520208088890145,7.1929911364311065
2021,54.05575089781506,16.358783567618882,10.640403855310213,7.871183253402385
2022,52.89066254601813,16.9304157669994,10.980194673049992,8.204275632756397
2023,52.02698826514026,17.066964978147197,11.303115485212972,8.032950245299576
