# NACE-J compensation growth by hub (2008 = 100)
# Source: Eurostat dataset nama_10r_2coe
# URL: https://ec.europa.eu/eurostat/databrowser/view/nama_10r_2coe/default/table
# Filters: Hub NACE-J compensation / 2008 value × 100
# Notes: Derived from nama_10r_2coe.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,RO32,RO11,RO42,RO21
2008,100.0,100.0,100.0,100.0
2009,69.48502086787491,75.34056157909369,70.97266838696088,54.77785114611828
2010,73.56211766051112,86.90575479566306,62.72578861446101,56.70219790585793
2011,86.34654965410783,116.80103790195535,68.41329190584023,62.10734836336195
2012,86.93828254530902,156.0837735149662,65.62746853441467,72.40826337138006
2013,95.1432165113487,204.53155407283847,80.03581020590869,95.20799924535422
2014,117.99139557486707,254.36011491057366,94.39148980988995,108.72559192529008
2015,125.83185638328283,297.368177184691,118.36852914845437,133.6006037166305
2016,147.60519695843578,438.6896487813919,155.82705777028806,142.1564003395906
2017,168.761791778629,524.8447780557872,194.33356153562588,215.45137251202715
2018,189.89909096106567,623.0006486887221,226.73653167623362,289.5575889067069
2019,213.2861185752673,706.8853674358262,264.3161830533467,364.55994717479484
2020,230.84014636098567,793.8652580854415,283.7221549318026,383.98264314687293
2021,257.1994168429478,1009.3040496710223,373.0686186739692,494.340156589001
2022,328.7583614430278,1364.6093967194884,502.93327716046133,673.1251768701065
2023,349.9864215882454,1488.7498841627282,560.3033335088736,713.2723327987925
