year,RO,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42
2014,19947311.0,2590220.0,2355312.0,3273367.0,2509094.0,3085095.0,2282968.0,2033360.0,1817895.0
2015,19870647.0,2585543.0,2350147.0,3269598.0,2492352.0,3061286.0,2284200.0,2015766.0,1811755.0
2016,19760585.0,2576567.0,2341964.0,3256734.0,2469868.0,3031555.0,2288203.0,1993482.0,1802212.0
2017,19643949.0,2568282.0,2332785.0,3239540.0,2447270.0,3003394.0,2287208.0,1972979.0,1792491.0
2018,19533481.0,2560504.0,2325371.0,3222732.0,2423059.0,2965415.0,2302291.0,1949813.0,1784296.0
2019,19414458.0,2552112.0,2318272.0,3198564.0,2396171.0,2929832.0,2315173.0,1926860.0,1777474.0
2020,19328838.0,2547429.0,2314826.0,3184215.0,2377101.0,2901376.0,2322002.0,1910409.0,1771480.0
2021,19201662.0,2537017.0,2302833.0,3163465.0,2351636.0,2868994.0,2327057.0,1892078.0,1758582.0
2022,19043098.0,2523601.0,2273401.0,3221997.0,2361692.0,2854893.0,2268381.0,1869602.0,1669531.0
2023,19055228.0,2532042.0,2281084.0,3224428.0,2353327.0,2841304.0,2289799.0,1861811.0,1671433.0
2024,19067576.0,2539784.0,2288061.0,3226814.0,2345172.0,2833623.0,2305447.0,1855697.0,1672978.0
2025,19043151.0,2544010.0,2291551.0,3218218.0,2331165.0,2825694.0,2313455.0,1848028.0,1671030.0
