# Romania business R&D expenditure by NACE
# Source: Eurostat dataset rd_e_berdindr2
# URL: https://ec.europa.eu/eurostat/databrowser/view/rd_e_berdindr2/default/table
# Filters: nace_r2 ∈ {J, J62, TOTAL}, unit=MIO_EUR, geo=RO
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,j_meur,j62_meur,total_meur
2005,,,162.54
2006,,,215.334
2007,,,271.791
2008,7.457,,242.492
2009,32.12,15.149,223.365
2010,26.727,8.838,219.548
2011,41.778,20.782,236.969
2012,44.668,26.844,251.034
2013,16.716,11.644,171.014
2014,25.509,21.031,238.41
2015,45.596,33.531,344.146
2016,98.109,44.306,451.684
2017,65.677,15.685,535.923
2018,81.199,6.726,608.123
2019,107.366,30.551,616.967
2020,114.264,46.095,605.414
2021,181.831,91.644,689.777
2022,173.192,64.868,810.719
2023,229.001,133.068,1033.278
2024,,,1043.183
