year,BG,CZ,EU27_2020,HU,PL,RO
2005,,11.50511854677839,,2.246193665418627,9.315787679405448,
2006,,11.107301180247084,,3.731369035158146,8.755338173416998,
2007,35.37039591667816,11.298736944493935,,3.5486290219319905,9.246229278543078,
2008,22.600050291108147,13.284121626608709,,7.132658650694588,9.355233670884957,3.0751529947379708
2009,11.777468404780416,13.57122045208891,,11.086280288146694,12.972429046694984,14.380050589841737
2010,4.182572614107884,13.655157424396357,,7.466486920656884,24.737755564997588,12.173647676134603
2011,2.374925168904473,14.519170876254325,,7.9652478742050725,26.311878900065878,17.630154155184854
2012,3.763041694345668,14.650408536505138,,13.458855923319401,20.342228559788147,17.79360564704383
2013,5.486094487512353,14.114334564971411,,15.78369366746937,19.094914121125143,9.774638333703674
2014,9.050381351380384,16.430335216912475,,20.49282186161927,18.94692809121342,10.69963508242104
2015,10.704937098933206,16.471870019484385,,8.035597611805791,21.489858604951937,13.24902802880173
2016,31.929436744666305,17.617212035310704,,7.4046758610517,,21.720716252955604
2017,32.820156003955034,18.62366470369073,,8.428228507142482,23.582168064881888,12.254932145102936
2018,34.38120330602375,20.12210747198128,,10.772951812783596,21.341413440531767,13.352397459066667
2019,37.61516937998123,19.560095848039897,,11.58474779648511,,17.402227347653927
2020,38.74435045436921,22.435622863840436,,12.876657507423275,,18.873696346632222
2021,37.16080179651979,25.135635437665645,,12.635952373472403,27.383063264609987,26.360838357904072
2022,34.50164742768864,25.44460704362827,,13.816723467285744,29.859415886898887,21.362765643829736
2023,34.857980096904285,24.345491351458133,,13.962669427036593,28.51123336904108,22.162573866858676
2024,,25.96958859306605,,,,
