# R&D intensity — J62 business R&D / J62_J63 GVA
# Source: Eurostat datasets rd_e_berdindr2, nama_10_a64
# URL: https://ec.europa.eu/eurostat/databrowser/view/rd_e_berdindr2/default/table
# URL: https://ec.europa.eu/eurostat/databrowser/view/nama_10_a64/default/table
# Filters: (rd_e_berdindr2 nace_r2=J62 MIO_EUR) / (nama_10_a64 nace_r2=J62_J63 B1G CP_MEUR) × 100
# Notes: Derived from two datasets.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2005,,4.380584999329129,,0.4586178357128078,0.5529755761953904,
2006,2.4156378600823047,3.362333223067593,,0.9782210834553442,0.5842099939308112,
2007,,3.0110552763819096,,0.9269838902147972,0.5005495899213663,
2008,1.09375,3.278498674480256,,2.3572935900817726,,
2009,0.7453527435610302,3.1805957150322244,,3.950802350921218,1.053654243255137,0.9986156888595912
2010,0.7893059490084987,3.437804439504397,,2.689242777113363,2.467907005162985,0.4253742118688935
2011,0.420852936712703,3.6314608705786378,,2.9332058857606302,2.750624253609814,0.8709974853310981
2012,0.7493717762200768,4.111485700999767,,5.216620287008239,3.3793213623873735,0.9043864968667881
2013,0.8965943576486456,4.110672739404137,,6.454040123300824,3.32392210057165,0.2967985318107667
2014,2.0574534161490683,5.471543086172345,,6.914966304754771,3.1731885035757657,0.5748845091982614
2015,2.8339446482160717,5.606194804191663,,3.150040369606172,3.3599656971342817,0.7600299197606418
2016,5.537137345106477,5.8719099001251385,,2.4194258685369436,7.332442470841384,0.9035218304545548
2017,5.104592001030463,6.454551042990042,,3.1125391148860078,5.7411319738549285,0.2514951817467571
2018,4.875697086569031,6.743018764740063,,3.9452068449908624,5.6217711791852,0.1014036092810083
2019,4.587644787644788,5.94647625046212,,4.52729791875479,5.921580111935441,0.3716757098712864
2020,4.178268637323371,6.1527155286053254,,5.192910565378114,6.263001557846137,0.47397970200820555
2021,3.586389660450088,6.449662459641914,,4.750141723356008,6.515236081373999,0.8396075161931635
2022,3.5669071620704393,6.598517319401777,,4.334063357225025,6.791967141649116,0.4467462345300652
2023,3.307028865261303,6.055698057896666,,4.413476626646718,6.589337182251348,0.8117961419734258
2024,,6.086366472545757,,,,
