year,BG,CZ,EU27_2020,HU,PL,RO
1979,,,9187.09,39.9,,
1980,,,11332.4,82.0,16.33,
1981,,,12697.7,119.58,9.44,
1982,12.0,,13414.8,117.25,15.0,7.0
1983,16.0,,15275.6,123.22,31.5,1.0
1984,19.33,,16736.2,120.55,20.83,2.0
1985,20.35,,18271.5,113.48,19.33,1.0
1986,10.25,,19141.6,91.78,29.5,
1987,20.97,,21737.1,114.03,23.58,
1988,16.5,,23455.7,96.87,25.06,
1989,11.4,,24430.4,93.51,15.12,
1990,7.65,,23401.0,71.37,19.52,
1991,3.25,2.0,23380.0,55.07,19.15,3.83
1992,4.58,17.08,23505.7,46.65,13.5,0.5
1993,8.47,20.69,24498.0,50.16,17.72,5.1
1994,3.0,23.75,25947.9,44.3,19.29,8.0
1995,8.17,18.01,27336.7,55.96,14.55,7.5
1996,4.33,31.74,31995.9,64.49,27.58,2.83
1997,7.73,44.13,36234.3,73.34,28.41,8.03
1998,9.1,64.25,39695.0,56.91,28.39,5.23
1999,8.01,59.65,43256.5,112.9,36.25,7.71
2000,7.43,66.58,45674.1,121.48,43.06,6.0
2001,15.98,71.32,45760.2,100.26,58.57,10.36
2002,14.63,91.13,45897.2,120.45,83.66,11.35
2003,21.28,110.91,47305.6,133.23,109.63,16.27
2004,17.63,112.21,49854.6,153.43,124.52,23.2
2005,23.32,107.59,51536.8,135.63,127.94,28.68
2006,27.13,152.93,52599.8,164.96,140.31,20.18
2007,12.17,189.28,52947.1,191.11,201.77,32.57
2008,18.65,209.64,51658.3,181.21,233.72,33.47
2009,15.83,176.14,51367.4,184.39,291.61,31.13
2010,16.97,192.59,51416.4,195.47,361.36,34.63
2011,26.38,222.84,52010.9,221.58,384.77,60.42
2012,33.82,231.97,51382.7,207.79,483.31,71.61
2013,39.82,250.58,51387.8,215.59,547.21,85.1
2014,47.44,269.91,51378.3,222.3,609.16,101.92
2015,31.88,295.4,51545.3,205.23,578.38,93.51
2016,31.06,318.67,50440.8,201.27,627.33,98.91
2017,29.33,357.38,49211.8,196.77,686.64,99.57
