year,RO,PL,CZ,HU,BG
1979,,,,5.0,
1980,,,,5.0,1.0
1981,,,,5.0,
1982,,,,8.0,1.0
1983,,,,2.0,
1984,1.0,2.0,,8.0,
1985,,1.0,,4.0,
1986,,1.0,,1.0,
1987,,0.5,,2.0,
1988,,3.0,,2.0,3.0
1989,,1.0,,1.0,1.0
1990,2.0,,,2.0,
1991,1.0,,,0.86,
1992,,1.0,1.0,2.2,
1993,,1.0,,4.33,0.33
1994,,2.33,,6.2,
1995,,2.0,0.5,4.4,
1996,,1.0,1.0,1.33,
1997,2.0,2.83,2.75,3.66,2.0
1998,,2.33,3.2699999999999996,10.67,2.0
1999,0.67,3.42,1.83,15.58,0.11
2000,1.0,3.0,1.7,29.32,
2001,4.0,4.47,5.22,22.52,3.0300000000000002
2002,2.5100000000000002,7.92,4.1,12.02,1.5
2003,2.83,10.75,5.58,22.36,1.5
2004,3.64,14.48,10.43,26.0,2.05
2005,4.85,21.029999999999998,12.17,18.38,4.24
2006,5.79,18.42,14.559999999999999,38.76,8.05
2007,15.35,32.949999999999996,11.25,36.0,2.5
2008,14.16,28.39,25.5,38.24999999999999,3.08
2009,16.33,39.269999999999996,8.92,36.8,4.0
2010,7.17,53.239999999999995,13.15,44.35,0.5
2011,12.32,43.050000000000004,23.68,57.22,2.25
2012,14.92,55.620000000000005,17.51,47.85,5.75
2013,13.9,69.32,19.57,41.05,3.1
