# % of individuals using internet in last 3 months
# Source: Eurostat dataset isoc_ci_ifp_iu
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_ci_ifp_iu/default/table
# Filters: indic_is=I_IU3 (used internet last 3 months), ind_type=IND_TOTAL, unit=PC_IND
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2003,,27.99,,,,
2004,15.87,31.55,,27.74,28.94,12.44
2005,,32.11,,37.16,35.07,
2006,24.35,44.25,,44.34,40.18,20.85
2007,30.78,48.64,54.98,51.1,44.12,24.4
2008,34.86,58.41,59.38,57.65,49.02,28.71
2009,41.79,60.36,62.89,58.55,55.66,33.36
2010,43.36,66.36,66.5,61.35,58.79,36.41
2011,47.98,70.49,69.36,67.32,61.95,40.01
2012,51.9,74.17,71.55,70.28,62.31,45.88
2013,53.06,74.11,73.34,72.42,62.85,49.76
2014,55.49,79.71,76.07,75.65,66.6,54.08
2015,56.66,81.3,77.75,72.83,68.0,55.76
2016,59.47,82.17,80.15,79.26,73.3,59.5
2017,63.41,84.64,82.02,76.75,75.99,63.75
2018,64.78,86.5,83.85,76.07,77.54,70.68
2019,67.95,87.03,85.93,80.37,80.44,73.66
2020,70.16,87.6,87.62,84.77,83.18,78.46
2021,75.27,88.85,89.0,88.64,85.37,83.59
2022,79.13,90.64,89.94,89.14,86.94,85.5
2023,80.39,92.04,91.44,91.45,86.41,89.2
2024,82.44,93.7,92.83,93.78,88.59,91.29
2025,86.85,94.52,93.79,92.8,89.65,93.15
