year,BG,CZ,EU27_2020,HU,PL,RO
2002,,,,,11.0,
2003,,14.79,,,14.0,
2004,9.65,19.37,,14.18,26.02,5.58
2005,,19.05,,22.12,30.44,
2006,17.01,29.25,,31.65,35.94,14.25
2007,18.96,35.12,52.99,37.72,40.98,22.25
2008,25.29,45.86,58.6,46.63,47.6,29.6
2009,29.6,54.18,64.15,53.42,58.59,37.95
2010,33.11,60.52,68.46,58.41,63.44,42.18
2011,45.0,66.63,71.55,63.22,66.64,47.44
2012,50.92,72.55,74.54,66.81,70.49,53.77
2013,53.71,72.62,77.17,69.66,71.9,58.07
2014,56.65,77.99,79.61,73.06,74.76,60.54
2015,59.14,78.98,81.37,75.64,75.78,67.71
2016,63.54,81.65,84.21,79.18,80.45,72.4
2017,67.33,83.24,85.81,82.35,81.88,76.45
2018,72.13,86.36,87.94,83.31,84.19,80.89
2019,75.07,87.0,89.68,86.2,86.75,83.61
2020,78.85,88.02,91.3,87.63,90.38,86.24
2021,83.53,89.31,92.3,90.78,92.42,88.74
2022,87.31,91.48,92.44,91.44,93.33,89.41
2023,88.5,92.8,93.09,92.73,93.3,92.0
2024,92.12,94.56,94.19,94.78,95.89,94.57
2025,92.82,95.47,94.74,93.06,96.2,95.47
