# % of enterprises (10+ employees) buying cloud services
# Source: Eurostat dataset isoc_cicce_use
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_cicce_use/default/table
# Filters: indic_is=E_CC (buy cloud computing services), size_emp=GE10, unit=PC_ENT
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2014,7.72,15.13,17.82,8.08,5.76,4.86
2015,5.36,,,10.56,7.28,8.17
2016,6.7,18.0,18.9,12.19,8.17,7.29
2017,8.01,22.03,,16.34,10.0,10.79
2018,8.35,26.48,23.9,18.01,11.48,10.29
2020,10.85,28.89,36.1,25.21,24.42,15.73
2021,12.79,43.75,40.97,26.41,28.7,14.14
2023,17.5,47.15,45.32,44.94,55.67,18.4
2024,,,,48.34,,
2025,17.83,54.9,52.74,47.96,54.71,24.94
