year,BG,CZ,EU27_2020,HU,PL,RO
2008,5.88,8.57,23.04,19.97,13.87,
2009,7.05,12.47,23.85,21.27,16.08,4.32
2010,11.33,10.19,26.38,24.42,18.73,5.25
2011,9.38,18.12,24.97,25.18,14.42,4.81
2012,13.18,15.09,26.51,27.16,15.11,7.3
2013,12.74,12.34,25.59,24.08,15.61,2.75
2014,13.48,16.6,29.15,30.91,16.82,4.85
2015,12.88,14.28,28.08,27.37,16.8,5.31
2016,9.47,16.06,28.99,29.14,19.04,4.63
2017,10.45,18.35,30.41,31.33,20.22,4.95
2018,9.37,25.54,30.78,37.66,22.07,4.86
2019,12.47,28.05,32.16,41.47,24.6,6.48
2020,14.38,28.32,35.09,40.99,25.44,8.04
2021,13.39,31.11,38.39,66.8,27.39,9.32
