# Working-age population projection — indexed (2022 = 100)
# Source: Eurostat dataset proj_23np
# URL: https://ec.europa.eu/eurostat/databrowser/view/proj_23np/default/table
# Filters: As 08a_working_age_pop_projection_persons.csv, indexed to first year (2022) = 100
# Notes: Derived from proj_23np baseline projection.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2022,100.0,100.0,100.0,100.0,100.0,100.0
2023,101.20512547279313,104.58019683838305,100.82745380790563,99.7819352786833,101.37895866582838,99.53672339541953
2024,100.75002950481186,105.51061812181497,100.93368255280815,99.44966208157749,101.07327399374803,98.81899494501192
2025,99.87712248449995,105.29855624801816,100.72212181849585,99.08682515703268,100.29243798445253,98.07869790679614
2026,98.89655441088344,105.06931722719068,100.45451036293625,98.648294505844,99.58148911199817,97.37659763188232
2027,97.89543036348782,104.70789081766524,100.09534822835566,98.25587978055181,98.87686925762891,96.66464197148208
2028,96.91241023948741,104.30328860462355,99.68148751166916,98.00386419654926,98.22632414405105,96.03615905824647
2029,95.93667751756253,103.73781031199891,99.2013033192119,97.70056452254114,97.55133984582122,95.43980617143096
2030,95.06044762523503,103.19036576953768,98.70749614975752,97.4355251649837,96.96358557427192,94.90513313711291
2031,94.2362149508616,102.76077178439449,98.23757175090448,97.13693249582572,96.42045108320596,94.42486477014866
2032,93.46134411318849,102.45714354414287,97.7895656676515,96.83579549972171,95.96853321007107,94.03069017664656
2033,92.65555910759116,102.19870487617577,97.30100732019056,96.37245766080942,95.60578588359405,92.61749158638311
2034,91.60532530344123,101.9586756615005,96.7937120373581,95.82336010177308,95.19454179634421,91.07557692585623
2035,90.60268877636956,101.80493794135725,96.32276127382002,95.29135723940526,94.83602058136599,89.82615573583027
2036,89.61176250860797,101.54618368276229,95.8548752422374,94.78261906655005,94.36526992125427,88.7256431333071
2037,88.6728334588004,101.28574627415207,95.39003712844473,94.30314065357398,93.75507788000871,87.6411179746799
2038,87.7652769040916,100.74374191299016,94.9197711918552,93.72233441997297,93.0050263121112,86.66780271690196
2039,86.69629751850209,100.06496658496376,94.50196790365668,93.18767591635525,92.2729144048411,85.80755902351174
2040,85.50813015116776,99.23723248058742,94.05814959849576,92.32069650950147,91.4784176220649,84.73237484334061
2041,84.37420580494283,98.40799556369745,93.63189789272933,91.35378866184305,90.59588293922847,83.70062131387557
2042,83.23556068881992,97.59467343132673,93.20667745577954,90.47178182396438,89.6270884897002,82.67795564194691
2043,82.13310050312866,96.82110068994122,92.7841991289849,89.67448517134451,88.65183511279963,81.6348933230049
2044,81.09741858677107,96.06210522993783,92.36985465474548,88.9668760435716,87.6499137950388,80.65388645534445
2045,80.06331789916572,95.36389853611033,91.96083291476862,88.33368847896955,86.58700006694387,79.70594861106427
2046,79.13522828703657,94.85204059397162,91.5350355417655,87.81286475312078,85.50628876650441,78.81274204177622
2047,78.23615078505716,94.44016476836399,91.1466605461236,87.36425220640852,84.46027542473942,78.01423535722016
2048,77.37030200323349,94.03637407407965,90.76651818625919,87.01358034507433,83.32516461029061,77.37993066283141
2049,76.50763859527304,93.67216746140402,90.43111131485831,86.74012880655164,82.12783536660989,76.88809222027955
2050,75.6529729965087,93.3169326394347,90.10029891417727,86.48447165460762,80.99679233671611,76.28198193026911
2051,74.82791533322104,92.97044418629466,89.77726131355925,86.16116720998647,79.93385425062985,75.63248181550735
2052,73.97565595212315,92.67151974921065,89.46152526430475,85.84838991810447,78.99312426679909,74.94814083092739
2053,73.17273549136684,92.40687446556231,89.15317483724124,85.54970183668601,78.14041188470242,74.22488454624116
2054,72.3333321875154,92.06841103124498,88.8172586367441,85.24481195833664,77.30134403742557,73.50975262655821
2055,71.55303017282371,91.82788588844022,88.51114274221503,84.92875884551165,76.53798488692189,72.86152628158592
2056,70.86125405189868,91.56853050483981,88.19778274472118,84.56194641011369,75.79605264947352,72.3868020792822
2057,70.30926771921501,91.32058146821777,87.93321255134437,84.17123320346664,75.10266182911546,72.11032054825012
2058,69.88343594132954,91.15820257612121,87.68965270863123,83.82978452731176,74.5130644695542,71.857420088705
2059,69.53515312137993,90.99922004030543,87.48082602768643,83.52398823248788,73.9912148032607,71.66668939311484
2060,69.27839823819035,91.00055754344255,87.29632874361378,83.23339429116642,73.53805467256709,71.48590390011162
2061,69.14706458631962,91.13767415718516,87.12595220589573,82.97177387294268,73.17827496136924,71.34890832621669
2062,69.01770174129952,91.34566340907007,86.94523951023852,82.78686491214121,72.85663174529108,71.23071718709825
2063,69.00832895057972,91.54478606712463,86.75854167225752,82.69751133020593,72.58518223004961,71.09239068707714
2064,68.95472758751471,91.74215043453825,86.57141192040052,82.65042537966129,72.36281812703854,70.93637021824983
2065,68.76085519267502,91.95352101457878,86.37513526251759,82.63075455195992,72.17104766115988,70.79414892214172
2066,68.57282646931098,92.12037828796593,86.14699786280397,82.55706448278603,71.98162774144625,70.65004146692227
2067,68.4495135429951,92.27443159873704,85.94595824225121,82.4887493042856,71.8165008584365,70.56414365804311
2068,68.32170901036851,92.38772863413878,85.74694577952519,82.41703108849488,71.68437499403737,70.48727655036359
2069,68.17174435885185,92.4894239569354,85.53374986761911,82.37131271368371,71.56126158643679,70.2902749881176
2070,67.97761988406614,92.53640187611114,85.29883916157439,82.31584638626063,71.40533796449117,70.04470687005286
2071,67.74474384667123,92.47379470679377,85.04509869195286,82.2050568498052,71.16326418681476,69.7423825096384
2072,67.4847806732597,92.36870302771636,84.77609901685508,82.04948715909994,70.88040701229222,69.45039528097688
2073,67.20513234770074,92.14873636009793,84.4945163909547,81.93890434920887,70.52592516421244,69.15473371638421
2074,66.87211182266405,91.85319325116956,84.17672936380568,81.7972171424028,70.06459698708699,68.80612905361926
2075,66.47377967525227,91.59204952067796,83.87283749295761,81.68941719010893,69.5814156320576,68.44130015642055
2076,66.13933833597444,91.32199411198057,83.57108172171688,81.66214518565636,69.14486359179773,68.11839951479169
2077,65.81511769268934,91.1467812010177,83.3090066804396,81.65615011528982,68.78901363653728,67.89060701744273
2078,65.51381340813232,90.97365719944877,83.05026224510955,81.60389600063608,68.4305005408895,67.65369400179357
2079,65.2505044463465,90.8191680730487,82.82268706905447,81.56124672020356,68.13100279861142,67.44899266447409
2080,64.93732948796834,90.62550062441859,82.57800312931937,81.46721793750497,67.80452858091601,67.22775681546447
2081,64.65736033338717,90.42782066637713,82.34585344936598,81.38397074024012,67.4915974064098,66.99256665510748
2082,64.38607647876398,90.2049986549828,82.10728671321277,81.25360578834379,67.1315132203201,66.73666957048074
2083,64.13972562243696,89.98572328112063,81.88911555979756,81.13357716466567,66.7155355634184,66.47588970166107
2084,63.92894095485592,89.77726815735649,81.69954390069843,81.0274310248867,66.3511887288429,66.24811353469401
2085,63.73758935947631,89.6073601745667,81.53737793016565,80.92090323606584,66.03638604866816,66.06665849603225
2086,63.591543405302154,89.4759392202507,81.4059801310019,80.80209906973046,65.78621323886871,65.94787129797388
2087,63.45782645212371,89.28243708099708,81.27330270378542,80.68092549892661,65.63194190066949,65.93406396006372
2088,63.344298810984725,89.25349291198478,81.17036988561382,80.63307625029816,65.55510055729866,65.87996140477537
2089,63.27880385773983,89.16312879554086,81.05109580035776,80.52347936709867,65.41515577767699,65.79891371932531
2090,63.21672344194541,89.07867073227546,80.93259201405816,80.42051363600223,65.27934373725392,65.729803543056
2091,63.173869851123875,89.02737974118563,80.82121953569651,80.32751848612547,65.17501440064747,65.67583163082298
2092,63.1472181259231,89.00522828473488,80.71557508304473,80.24498688081418,65.09886726003005,65.634711729158
2093,63.13273498720694,89.00653573162172,80.61399265253895,80.17331637115369,65.04628647604129,65.60407593268323
2094,63.12977877693102,89.0286120474468,80.51526722898585,80.1132702552278,65.01452771498941,65.58197276075965
2095,63.13404121965445,89.06389808526657,80.41765784566705,80.0641011369961,64.99885334755731,65.56544641426048
2096,63.142084861568,89.10632248252604,80.31970412225084,80.02463226524608,64.99485051764589,65.55145944214925
2097,63.15070141244977,89.14933297666583,80.22004551251308,79.99338474994036,64.99789526656431,65.53711320163588
2098,63.15743882191583,89.18658769887845,80.1173789186284,79.96833903156556,65.00339611294362,65.51878234793496
2099,63.1601887849632,89.21318748036951,80.01069023624075,79.94757096286872,65.00677375441047,65.49364172497498
2100,63.15711799289364,89.22289564920749,79.8989271788266,79.92887015981553,65.00314035403447,65.46129940358996
