# Working-age population (15-64) projection — baseline (proj_23np)
# Source: Eurostat dataset proj_23np
# URL: https://ec.europa.eu/eurostat/databrowser/view/proj_23np/default/table
# Filters: projection=BSL (baseline), sex=T, age=Y15-64, unit=PER
# Notes: Eurostat 2023-based population projections (EUROPOP2023).
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2022,4363695.0,6654190.0,285473579.0,6288500.0,24632573.0,12247111.0
2023,4416283.0,6958965.0,287835741.0,6274787.0,24972246.0,12190373.0
2024,4396424.0,7020877.0,288138996.0,6253892.0,24896948.0,12102472.0
2025,4358333.0,7006766.0,287535046.0,6231075.0,24704608.0,12011807.0
2026,4315544.0,6991512.0,286771086.0,6203498.0,24529483.0,11925820.0
2027,4271858.0,6967462.0,285745773.0,6178821.0,24355917.0,11838626.0
2028,4228962.0,6940539.0,284564310.0,6162973.0,24195671.0,11761655.0
2029,4186384.0,6902911.0,283193511.0,6143900.0,24029405.0,11688619.0
2030,4148148.0,6866483.0,281783822.0,6127233.0,23884626.0,11623137.0
2031,4112181.0,6837897.0,280442312.0,6108456.0,23750838.0,11564318.0
2032,4078368.0,6817693.0,279163373.0,6089519.0,23639519.0,11516043.0
2033,4043206.0,6800496.0,277768668.0,6060382.0,23550165.0,11342967.0
2034,3997377.0,6784524.0,276320474.0,6025852.0,23448865.0,11154127.0
2035,3953625.0,6774294.0,274976034.0,5992397.0,23360552.0,11001109.0
2036,3910384.0,6757076.0,273640343.0,5960405.0,23244594.0,10866328.0
2037,3869412.0,6739746.0,272313353.0,5930253.0,23094288.0,10733505.0
2038,3829809.0,6703680.0,270970868.0,5893729.0,22909531.0,10614302.0
2039,3783162.0,6658513.0,269778150.0,5860107.0,22729193.0,10508947.0
2040,3731314.0,6603434.0,268511166.0,5805587.0,22533488.0,10377268.0
2041,3681833.0,6548255.0,267294330.0,5744783.0,22316097.0,10250908.0
2042,3632146.0,6494135.0,266080438.0,5689318.0,22077458.0,10125661.0
2043,3584038.0,6442660.0,264874374.0,5639180.0,21837228.0,9997916.0
2044,3538844.0,6392155.0,263691530.0,5594682.0,21590429.0,9877771.0
2045,3493719.0,6345695.0,262523881.0,5554864.0,21328606.0,9761676.0
2046,3453220.0,6311635.0,261308342.0,5522112.0,21062399.0,9652284.0
2047,3413987.0,6284228.0,260199634.0,5493901.0,20804739.0,9554490.0
2048,3376204.0,6257359.0,259114428.0,5471849.0,20525132.0,9476806.0
