# Young-adult population projection — indexed (2022 = 100)
# Source: Eurostat dataset proj_23np
# URL: https://ec.europa.eu/eurostat/databrowser/view/proj_23np/default/table
# Filters: As 08b_young_adult_pop_projection_persons.csv, indexed to first year (2022) = 100
# Notes: Derived from proj_23np baseline projection.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2022,100.0,100.0,100.0,100.0,100.0,100.0
2023,99.71150635118923,104.39853696506951,100.84337670447007,98.24434695291231,99.25639488232854,98.8598048935574
2024,98.00961027074496,103.08698845940212,101.01396689958779,96.37753923974505,96.39855191934153,98.57644248668683
2025,96.72607636269187,101.54068363251108,101.13103541619157,94.6110571148831,93.46015929078119,98.46098498634171
2026,96.78529022522912,101.72113349955553,101.38480234552989,93.43632591765247,91.72896182790478,99.05061305422737
2027,97.14335629738655,102.82307814698757,101.61490575496966,93.09104838002366,90.61023768116219,99.65943174830265
2028,98.61442653770516,104.67454713657311,101.79275484804613,93.05560776185337,90.28865936581931,100.07712853850049
2029,100.20330608155743,107.12548316071184,102.25724104521305,93.51033953186165,91.05321312281939,100.82399424385795
2030,101.21890885703331,109.45218126160563,102.60834504357004,93.89544301667678,92.19429361927828,101.86316403749859
2031,101.83547513326985,111.5354530635033,102.76228689325748,93.3516622186901,93.0651175807996,102.63669791549013
2032,102.94708785296409,112.8695816211715,102.8703457648291,92.68858257216552,93.5770708314534,103.19453333835322
2033,103.90301294974707,113.97057352379336,103.02195599312407,92.32415278128305,94.37629243918751,104.1920798664709
2034,104.46763181655143,114.93818115299273,102.91569052023672,92.07642644013309,94.9054006689726,104.10569590335035
2035,105.30791208519375,116.20542702498764,102.87450328137122,92.11356749200348,95.67809051482354,103.80204476906407
2036,105.64340577110983,116.84681483118791,102.6576685849601,91.69839317964993,95.86660440928296,103.19296462231593
2037,105.74915585459672,117.46600368331144,102.41636405010273,91.29216851834947,96.21368852809086,102.86918163221766
2038,105.5511063561366,117.39054629434669,101.9896346836725,91.15031654915775,96.5630870182141,102.57625005751959
2039,104.7205662267628,116.81508842900956,101.15143710337556,90.71554250099788,95.90203576395608,101.64082468447893
2040,103.2682032380552,116.34652853137246,100.24735293947997,90.59946552683911,94.83785442986179,100.30987370790089
2041,101.98915288617334,115.61482051716894,99.16751976658439,91.15121151426307,93.73256318054744,98.84249672661254
