year,BG,CZ,EU27_2020,HU,PL,RO
2022,646808.0,1049599.0,49236124.0,1117362.0,4191203.0,1912392.0
2023,644942.0,1095766.0,49651370.0,1097745.0,4160037.0,1890587.0
2024,633934.0,1082000.0,49735362.0,1076886.0,4040259.0,1885168.0
2025,625632.0,1065770.0,49793002.0,1057148.0,3917105.0,1882960.0
2026,626015.0,1067664.0,49917947.0,1044022.0,3844547.0,1894236.0
2027,628331.0,1079230.0,50031241.0,1040164.0,3797659.0,1905879.0
2028,637846.0,1098663.0,50118807.0,1039768.0,3784181.0,1913867.0
2029,648123.0,1124388.0,50347502.0,1044849.0,3816225.0,1928150.0
2030,654692.0,1148809.0,50520372.0,1049152.0,3864050.0,1948023.0
2031,658680.0,1170675.0,50596167.0,1043076.0,3900548.0,1962816.0
2032,665870.0,1184678.0,50649371.0,1035667.0,3922005.0,1973484.0
2033,672053.0,1196234.0,50724018.0,1031595.0,3955502.0,1992561.0
2034,675705.0,1206390.0,50671697.0,1028827.0,3977678.0,1990909.0
2035,681140.0,1219691.0,50651418.0,1029242.0,4010063.0,1985102.0
2036,683310.0,1226423.0,50544657.0,1024603.0,4017964.0,1973454.0
2037,683994.0,1232922.0,50425848.0,1020064.0,4032511.0,1967262.0
2038,682713.0,1232130.0,50215743.0,1018479.0,4047155.0,1961660.0
2039,677341.0,1226090.0,49803047.0,1013621.0,4019449.0,1943771.0
2040,667947.0,1221172.0,49357911.0,1012324.0,3974847.0,1918318.0
2041,659674.0,1213492.0,48826243.0,1018489.0,3928522.0,1890256.0
2042,651425.0,1218643.0,48430711.0,1026488.0,3880986.0,1861191.0
2043,643349.0,1211907.0,47949124.0,1025840.0,3812416.0,1836678.0
2044,634783.0,1211632.0,47619853.0,1030577.0,3780341.0,1820424.0
2045,623426.0,1207952.0,47227101.0,1031150.0,3740417.0,1799707.0
2046,612584.0,1200967.0,46847020.0,1031791.0,3695660.0,1774242.0
2047,601220.0,1189394.0,46415628.0,1028224.0,3628655.0,1743192.0
2048,590321.0,1175999.0,46025837.0,1024550.0,3538502.0,1708791.0
2049,580493.0,1161344.0,45704978.0,1021010.0,3456111.0,1676971.0
2050,571153.0,1148046.0,45458269.0,1016692.0,3381175.0,1651125.0
2051,563716.0,1136514.0,45301226.0,1010973.0,3319048.0,1633706.0
2052,556724.0,1119351.0,45135975.0,1004470.0,3279403.0,1631178.0
2053,550656.0,1114294.0,45066977.0,1002839.0,3258475.0,1623437.0
2054,547095.0,1104803.0,44951965.0,996354.0,3218052.0,1612515.0
2055,543836.0,1096086.0,44846250.0,990165.0,3178296.0,1603946.0
2056,541707.0,1090812.0,44776590.0,984681.0,3148346.0,1597720.0
2057,540526.0,1088841.0,44734520.0,979942.0,3127850.0,1593332.0
2058,540129.0,1089581.0,44717597.0,975845.0,3115582.0,1591073.0
2059,540454.0,1093060.0,44719968.0,972468.0,3111192.0,1590334.0
2060,541257.0,1098293.0,44735541.0,969858.0,3113212.0,1590812.0
