,BG,CZ,EU27_2020,HU,PL,RO
2008.0,,2.7,,1.5,,
2008.25,,3.1,,1.6,,0.6
2008.5,,2.8,,1.4,,0.7
2008.75,,2.1,,0.9,,0.5
2009.0,0.2,1.2,,1.2,1.0,0.7
2009.25,0.1,0.9,,1.2,0.9,0.5
2009.5,0.2,0.8,,1.0,1.0,0.5
2009.75,0.2,0.7,,1.0,0.9,0.4
2010.0,0.2,0.8,,1.5,1.2,0.9
2010.25,0.1,0.8,,1.4,1.1,0.8
2010.5,0.2,0.9,,1.5,1.2,0.6
2010.75,0.2,0.9,,1.7,1.2,0.7
2011.0,0.3,0.8,,1.8,1.2,0.9
2011.25,0.5,0.9,,1.8,1.3,1.1
2011.5,0.2,1.0,,2.2,1.4,0.8
2011.75,0.2,0.9,,1.3,1.1,0.8
2012.0,0.2,0.9,2.4,2.5,1.3,0.8
2012.25,0.2,1.1,1.9,1.7,1.3,0.8
2012.5,0.3,1.0,2.0,1.8,1.3,0.6
2012.75,0.3,1.0,2.0,1.7,1.2,0.4
2013.0,0.3,0.8,2.0,2.6,1.6,0.6
2013.25,0.3,0.6,1.9,1.8,1.6,0.7
2013.5,0.2,0.6,2.0,1.8,1.9,0.5
2013.75,0.3,0.6,1.8,1.5,1.3,0.5
2014.0,0.2,0.6,2.2,2.5,1.7,0.7
2014.25,0.2,0.6,2.2,3.0,1.7,0.6
2014.5,0.2,0.8,2.2,2.6,1.9,0.9
2014.75,0.2,0.9,2.4,2.5,1.7,0.7
2015.0,0.2,1.0,2.3,3.0,1.7,1.1
2015.25,0.3,1.4,2.2,2.8,1.8,1.2
2015.5,0.3,1.7,2.3,2.7,2.0,1.2
2015.75,0.3,1.8,2.6,2.8,2.2,1.2
2016.0,0.4,2.2,2.5,3.5,2.0,1.5
2016.25,0.3,2.5,2.5,3.6,2.2,1.6
2016.5,0.4,2.8,2.5,3.4,2.0,1.4
2016.75,0.2,2.8,2.7,3.0,2.1,1.4
2017.0,0.3,3.1,3.0,3.2,2.1,1.2
2017.25,0.3,3.3,2.9,3.4,2.2,1.6
2017.5,0.5,3.7,2.7,3.3,2.1,1.0
2017.75,0.4,3.8,2.8,3.1,2.0,1.3
2018.0,0.3,3.9,2.9,3.6,2.2,1.7
2018.25,0.4,4.1,3.2,3.6,3.1,1.7
2018.5,0.5,4.5,3.0,3.7,2.3,1.7
2018.75,0.6,4.5,3.5,3.6,2.1,1.8
2019.0,0.4,4.9,3.4,3.6,2.2,1.3
2019.25,0.4,4.1,3.4,3.4,2.4,1.5
2019.5,0.5,4.6,3.1,3.3,2.5,1.4
2019.75,0.6,4.7,3.2,2.9,1.9,1.2
2020.0,0.5,4.7,2.8,2.3,1.5,1.2
2020.25,0.3,4.6,2.2,1.9,1.4,1.3
2020.5,0.3,4.4,2.4,2.1,1.7,0.9
2020.75,0.5,3.9,2.7,2.4,1.7,1.0
2021.0,0.4,3.5,3.2,2.6,2.8,1.2
2021.25,0.5,3.1,3.2,3.0,3.8,1.2
2021.5,0.5,3.2,3.5,2.8,3.9,1.0
2021.75,0.5,3.8,4.0,2.9,3.6,1.6
2022.0,0.6,5.2,4.2,3.3,4.0,1.7
2022.25,1.1,4.4,4.3,4.5,3.8,1.4
2022.5,0.7,4.2,4.2,3.2,3.3,1.1
2022.75,0.4,3.9,3.9,2.8,2.8,0.8
2023.0,0.4,3.5,3.6,2.7,2.0,1.1
2023.25,0.4,3.1,3.4,2.5,2.2,1.0
2023.5,0.6,2.8,3.3,2.5,1.9,1.1
2023.75,0.4,2.4,3.1,1.9,1.8,0.9
2024.0,0.5,2.1,3.1,1.8,1.5,0.8
2024.25,0.4,2.0,3.0,1.9,1.6,0.7
2024.5,0.5,1.8,2.8,1.9,1.5,0.8
2024.75,0.6,1.6,2.9,1.7,1.4,0.7
2025.0,0.6,1.0,2.5,2.0,1.4,0.8
2025.25,0.5,0.9,2.4,1.8,1.3,0.7
2025.5,0.5,0.8,2.2,1.7,1.3,0.7
2025.75,0.5,0.9,2.2,1.8,1.4,0.7
