# Annual compensation per employee in J62_J63 — RO vs CEE peers vs DE/FR
# Source: Eurostat datasets nama_10_a64, nama_10_a64_e
# URL: https://ec.europa.eu/eurostat/databrowser/view/nama_10_a64/default/table
# URL: https://ec.europa.eu/eurostat/databrowser/view/nama_10_a64_e/default/table
# Filters: (nama_10_a64 D1 CP_MEUR for J62_J63) / (nama_10_a64_e SAL_DC THS_PER for J62_J63); kEUR per employee per year
# Notes: Derived: compensation of employees divided by employees (paid).
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,DE,EU27_2020,FR,HU,PL,RO
1978,,,,,33.16890881913303,,,
1979,,,,,35.14880112834978,,,
1980,,,,,39.03552278820376,,,
1981,,,,,42.50813272608979,,,
1982,,,,,44.32124681933843,,,
1983,,,,,44.84355444305381,,,
1984,,,,,45.88599151000606,,,
1985,,,,,46.16265750286369,,,
1986,,,,,48.60397727272727,,,
1987,,,,,47.525026624068154,,,
1988,,,,,47.27017716535433,,,
1989,,,,,46.8033228558599,,,
1990,,,,,48.98638877073586,,,
1991,,,,,49.180634662327094,,,
1992,,,,,49.78754434371305,,,
1993,,,,,50.89307692307692,,,
1994,,,,,51.598290598290596,,,
1995,2.9469122426868903,6.806761078117862,39.190769230769234,34.86843551874519,52.65894511760513,7.836166924265843,1.83976833976834,0.7366071428571429
1996,1.7924528301886793,7.402922755741128,40.7,35.98366170939581,51.84258943781942,9.690230341540905,3.1242603550295858,0.7863636363636364
1997,1.9401330376940134,7.883184523809524,41.06420664206642,36.952410183241945,53.78716798896171,12.911283376399657,3.619883040935673,1.0980392156862744
1998,3.760092272202999,8.93747602608362,43.446308724832214,38.72852904727928,55.007022023619534,13.738317757009344,5.155172413793103,2.1034482758620694
1999,3.704545454545454,9.930501930501931,46.31778425655977,41.008803491805146,55.31079512478235,14.048484848484849,7.427061310782242,2.1797752808988764
2000,3.5572687224669597,11.901060070671377,48.43564356435643,43.223793277432065,55.16727748691099,14.185418541854185,15.76923076923077,3.7797619047619047
2001,4.559915164369035,14.332023575638507,50.07174887892377,44.82516487425772,56.13436442725954,15.187068652379223,18.72639225181598,6.0
2002,4.475524475524476,16.708821714990748,51.38325991189427,46.26941502502739,58.92909356725147,16.599788806758184,16.21256038647343,6.094674556213018
2003,5.031731640979149,18.106013639181647,52.82405345211581,47.40621361735156,62.52737824880141,16.596136154553818,14.032941176470587,5.491620111731844
2004,2.989352989352989,19.81900452488688,54.496688741721854,48.33402833466988,63.067729083665334,19.527559055118108,14.416107382550335,4.614457831325302
2005,3.183254344391785,21.78282432785173,54.2922077922078,49.56604426002766,67.89170682221658,22.462182169295136,15.68710359408034,6.47410358565737
2006,3.7163636363636363,23.623748862602366,54.05,49.65771119842829,69.06724721819062,19.083592938733123,14.27814569536424,6.446308724832215
2007,4.494983277591973,24.821124361158432,55.23715415019763,50.51081499096622,69.20940959409594,22.937151545869234,12.538677918424755,8.241721854304636
2008,18.2039911308204,28.467609339033213,57.35834896810506,52.74376667181058,72.30618101545255,25.320916184243647,18.164507772020727,9.726415094339622
2009,20.61114842175957,25.385761096216857,58.02416356877323,52.13648235430346,69.93909626719058,21.04421052631579,13.166484118291347,14.902821316614421
2010,12.747592847317744,27.738365923904805,60.492592592592594,53.97910759588122,72.24908108108107,22.970275066548357,18.281437125748504,19.01543209876543
2011,14.656239817530139,29.532495401594115,62.06951871657754,55.20288176598841,73.64096589705571,21.591798695246972,21.17948717948718,21.90176322418136
2012,16.53125,29.506227106227108,65.10902896081772,56.07172148197454,74.52781211372064,27.425933877200517,18.932727272727274,21.304824561403507
2013,18.85400792441329,29.077162238552855,63.94308943089431,56.440469867368705,75.20737421063353,25.002867520550563,22.344768439108062,24.455696202531644
2014,19.30559460219286,28.207036535859267,67.08424336973479,57.51662164969873,77.04567211806942,22.97671389024589,22.685559006211175,29.483935742971887
2015,20.44117647058824,29.317028749837387,68.82831325301206,,77.46429251571129,21.910894020130254,23.8560338743825,23.192513368983956
2016,22.37362180153942,30.40614709110867,70.75285714285714,,77.79320370706888,22.043537414965986,27.84949348769899,32.231884057971016
2017,24.722382324687803,33.450434782608696,71.85887096774194,,80.16698858647936,22.770021074815595,28.403236245954695,33.056746532156374
2018,26.487504279356383,36.847108824516276,72.97243107769422,,81.31891447368422,24.07478797224364,30.282505910165487,37.34830097087378
2019,28.732072017088797,38.66062012233706,74.92765460910152,,85.16538398559031,25.467148884870404,27.08710462287105,40.722863741339495
2020,29.270706249152774,38.49056603773585,73.06026785714286,,82.04525728456292,22.827247490924623,27.47437641723356,38.44100580270793
2021,31.545835829838225,43.60766515380735,77.85263157894737,,87.48254158549379,25.219,27.648267526188558,42.30185348631951
2022,37.39494871512076,49.92317061744589,80.70038910505836,,89.95155611885649,26.917715392061957,35.6016548463357,55.16751269035533
2023,41.07985574446162,54.359889374609686,85.73909006499535,,93.66842890063711,31.124709665892443,34.978983688833125,68.51992225461613
2024,43.3689170994422,55.60444444444445,,,,33.38757396449704,,
