year,BG,CZ,EU27_2020,FI,HU,PL,RO,SE
2004,2.2,3.4,3.1,5.2,4.4,2.5,,5.7
2005,2.2,3.7,3.3,5.4,4.2,2.6,1.4,6.2
2006,2.4,3.9,3.4,5.5,4.3,2.8,2.0,6.1
2007,2.4,4.3,3.4,5.6,4.3,3.0,2.1,6.1
2008,2.4,4.6,3.5,5.5,4.4,3.0,2.1,6.3
2009,2.4,4.6,3.6,5.5,4.2,3.2,2.1,6.4
2010,2.5,4.6,3.6,5.7,4.3,3.0,1.9,6.4
2011,2.2,3.5,3.0,5.7,2.7,2.3,1.5,5.6
2012,2.5,3.4,3.2,6.1,3.2,2.5,1.6,5.8
2013,2.5,3.7,3.3,6.3,3.5,2.6,1.6,5.7
2014,2.5,3.7,3.4,6.3,3.5,2.6,1.6,5.8
2015,2.9,3.5,3.5,6.4,3.6,2.6,1.9,6.1
2016,3.0,3.7,3.6,6.6,3.6,2.7,2.0,6.3
2017,3.1,3.6,3.7,6.7,3.6,2.8,2.1,6.6
2018,3.3,4.0,3.8,6.7,3.7,3.0,2.2,6.8
2019,3.0,4.0,4.0,6.8,3.4,3.2,2.3,7.0
2020,3.3,4.2,4.3,7.6,3.8,3.5,2.4,7.5
2021,3.5,4.6,4.5,7.4,3.9,3.7,2.6,8.0
2022,3.8,4.5,4.6,7.6,4.2,3.7,2.8,8.6
2023,4.3,4.3,4.8,7.6,4.2,4.3,2.6,8.7
2024,4.6,4.5,4.9,7.8,4.5,4.5,2.8,8.6
2025,4.8,4.7,5.0,7.8,4.6,4.5,2.7,8.9
