# Romania ICT (J62_J63) GVA history, EUR bn
# Source: Eurostat dataset nama_10_a64
# URL: https://ec.europa.eu/eurostat/databrowser/view/nama_10_a64/default/table
# Filters: nace_r2=J62_J63, na_item=B1G, unit=CP_MEUR, geo=RO; values divided by 1000 (MEUR → EUR bn)
# Notes: Derived from nama_10_a64 (rescaling).
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,RO ICT GVA (€bn)
1995,0.1702
1996,0.194
1997,0.2509
1998,0.30519999999999997
1999,0.26330000000000003
2000,0.4098
2001,0.45239999999999997
2002,0.4962
2003,0.43639999999999995
2004,0.4466
2005,0.5905
2006,0.8578
2007,1.9527
2008,2.2139
2009,1.517
2010,2.0776999999999997
2011,2.386
2012,2.9682
2013,3.9232
2014,3.6583
2015,4.4118
2016,4.9037
2017,6.2367
2018,6.632899999999999
2019,8.2198
2020,9.725100000000001
2021,10.9151
2022,14.520100000000001
2023,16.3918
2024,17.826900000000002
