year,BG,CZ,EU,HU,PL,RO
2000,29.053348183982802,73.86316944969532,100.0,53.689911580645976,48.48689406918953,26.457146129548402
2001,29.98999542365906,76.30525326163847,100.0,56.973176425414586,48.15129034786883,28.092441289515257
2002,32.141447810732,75.72221399073277,100.0,59.987817461112094,48.87949466548358,29.56518599095078
2003,34.006907356707536,79.21129204351487,100.0,62.46673738970202,49.815528531374454,30.544191325115232
2004,35.50860158468922,81.00214464037009,100.0,62.718226539691656,51.76672046713462,34.693627014586404
2005,38.27690328588824,82.25169787791083,100.0,63.56757342132083,51.83051025240434,35.713175735280586
2006,39.04757368794696,81.87135138866059,100.0,62.863165948755565,52.05463157125557,39.55593855814528
2007,41.19418953805333,84.3929383816249,100.0,61.33035177155727,54.08205361431177,44.02440040046457
2008,44.03427465302556,85.748629228586,100.0,63.560669436463115,56.38968539616671,51.50850196485657
2009,44.40265092726524,86.73050315616075,100.0,64.75531253500444,60.401201204613386,52.07851407244966
2010,45.318546042269666,85.3196424555492,100.0,65.73406844765476,63.612507991403845,52.59296881456981
2011,45.420803111556374,84.33017086044285,100.0,66.31751903192902,65.78762730625812,54.23686574372817
2012,46.49731878274693,83.91274299068449,100.0,66.08454540320024,67.57348535740198,56.408472945537966
2013,46.54946884058496,85.45393671471263,100.0,67.76034952114878,67.32569096763045,54.22150689202082
2014,48.1473712579305,87.62902567746067,100.0,69.03652520047982,68.13605263069277,55.21858044968454
2015,49.018493686660825,88.44092842441259,100.0,69.87933224414816,70.01000986524106,56.096405411238784
2016,50.723881498827126,89.10864455827785,100.0,68.89790782575193,69.33983843088303,58.44847981078557
2017,51.867404337143,91.44388438261,100.0,69.09070286414297,70.11857943615894,62.61878913490114
2018,53.302317219413645,92.48439571136842,100.0,71.65023196681267,71.84313568848943,65.2633304181694
2019,55.09211099089668,93.88772535115798,100.0,73.33183838378619,73.85698280563165,68.79963752546414
2020,57.50237617045332,94.26696038620182,100.0,74.80809959827204,77.97359473531435,71.88640371593254
2021,59.57116115851192,91.96856947571949,100.0,74.82627831091301,79.0063731277657,72.22278411102984
2022,62.10301068338314,90.53285033076585,100.0,75.86029305105906,79.98390593588607,71.77940916655535
2023,63.27258815052749,90.86377286315656,100.0,75.92279738987943,78.98743214907769,74.92752015021567
2024,66.00485039152998,90.09209506741813,100.0,76.35788536368506,80.61993222489387,77.18208256338455
