year,BG,CZ,EU,HU,PL,RO
2000,1621.26210738992,6062.92152842793,16976.0452668705,4629.91760812548,4520.64100449111,1659.92904910528
2001,1770.90704918691,6669.07494847497,17230.6480095869,5280.94887987063,5015.23790036613,1825.19299373184
2002,2092.98288625558,8101.26018588111,18797.8116316074,6658.04494326809,5223.45178967082,2119.85509684554
2003,2719.49436859287,9852.45677945801,23020.9558032659,8410.09248198479,5720.81366178104,2679.40626016154
2004,3389.68743360274,11782.5546676117,26368.6780464333,10291.2694721409,6711.72715262967,3494.99056448955
2005,3899.82596332878,13442.4916284309,27431.4991030834,11212.2046968994,8043.92332253757,4618.00350802913
2006,4523.1465578805,15259.0788162004,29200.5809467343,11478.4891640501,9068.85528307627,5757.53127301178
2007,5888.57081403932,18452.6532812196,33704.6636441399,13934.605460375,11272.5293683383,8360.33775916596
2008,7271.30338858025,22774.7045076205,37169.0746850842,15762.6322515113,14048.5604672654,10435.1561230787
2009,6988.27316296465,19817.4215836554,33632.0748456258,13051.1831777184,11556.3026866026,8548.4543409242
2010,6853.94805511171,20160.4355077059,33119.5673211775,13189.8433874768,12567.7317676382,8399.5374234284
2011,7849.58061302818,22049.1080788682,35963.3147849808,14211.460557822,13867.6669408192,9560.6755277458
2012,7431.95789508871,20014.0354015165,33324.7709896821,12950.1594488143,13087.420943321,8929.95366231474
2013,7795.98092108928,20260.4954999375,34804.7281200997,13739.4620151401,13621.9023794031,9497.67411615237
2014,8069.60005667684,20038.4163180257,35590.1004559069,14352.501883174,14262.2841914116,10031.7710755404
2015,7268.65445473873,17931.5987670768,30771.6568591261,12782.9412577973,12637.5220324406,8977.01748158196
2016,7822.49923292968,18753.9686718096,31456.8971280656,13215.8605277789,12464.0110508476,9404.54005870715
2017,8696.68930427924,20913.197632212,33394.5888043692,14736.1668157258,13913.3402919927,10727.9822007426
2018,9849.38397225174,23705.9329811299,36054.953230113,16605.0570511887,15658.2120316794,12416.134317959
2019,10353.7204584127,24062.7190013343,35374.1403676934,17012.8598553199,15874.5220531254,12909.6104013244
2020,10760.211975413,23472.8915454417,34694.7035869195,16386.9308821258,16150.9304813473,13009.1770573223
2021,12966.1457543396,27696.4619527544,39206.9791776084,19030.628130329,18635.5104895754,14907.9803652143
2022,13999.1949530956,28282.2236715857,38066.8844892624,18428.028825614,18891.2121169279,15503.551804598
2023,15853.208636704,31761.5944102491,41566.5741100785,22230.6277875187,22145.2660647429,18244.4186876321
2024,17596.0173663521,31823.3078290564,43304.9642561331,23292.3263882478,25103.565661423,20080.2096215595
