year,BG,CZ,HU,PL,RO
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,61.6,65.4,57.2,57.2,49.5
2010,58.9,65.0,57.0,57.0,52.1
2011,57.6,65.7,57.6,57.5,51.9
2012,58.0,66.5,58.6,58.0,52.6
2013,58.6,67.7,60.1,58.4,52.6
2014,60.2,69.0,63.6,60.2,53.7
2015,62.1,70.2,65.9,61.6,54.9
2016,62.6,72.0,68.5,63.5,55.8
2017,66.0,73.6,70.2,65.3,58.0
2018,66.8,74.8,71.6,66.6,59.0
2019,69.6,75.1,72.4,67.8,60.2
2020,68.1,74.4,72.1,68.0,60.2
2021,68.5,74.4,73.3,70.4,61.9
2022,70.6,75.5,74.5,71.5,63.1
2023,70.7,75.1,74.9,72.4,63.0
2024,70.9,75.4,75.1,72.5,63.8
