year,BG,CZ,HU,PL,RO
2000,16.3,30.8,21.0,34.7,5.1
2001,17.9,35.1,24.8,37.1,7.7
2002,19.3,38.4,29.4,39.9,9.7
2003,20.7,42.8,32.9,41.7,12.1
2004,21.9,44.9,35.0,43.4,14.5
2005,23.6,47.7,38.5,45.4,16.6
2006,26.1,50.9,42.2,48.0,20.0
2007,31.1,54.5,46.4,52.7,24.3
2008,39.8,58.3,49.6,58.2,30.1
2009,44.9,60.1,49.8,61.4,33.0
2010,48.6,61.5,50.3,63.4,33.4
2011,52.3,62.8,52.7,66.4,35.0
2012,54.0,64.5,55.4,68.4,37.3
2013,56.8,64.6,57.7,70.4,39.3
2014,60.2,66.3,59.7,72.5,41.6
2015,64.4,69.1,62.0,74.9,45.1
2016,68.7,71.9,65.3,78.1,51.0
2017,77.0,77.7,74.3,82.8,60.1
2018,82.6,84.3,83.2,88.4,82.0
2019,92.0,91.0,92.1,94.3,92.7
2020,100.0,100.0,100.0,100.0,100.0
2021,109.6,103.5,108.6,108.1,104.5
2022,125.5,106.1,127.5,120.6,116.9
2023,143.7,113.7,147.4,135.7,136.0
2024,163.8,120.3,166.0,153.5,155.2
