year,BG,CZ,EA,HU,PL,RO
1996,,9.1,,23.5,,38.8
1997,,8.0,,18.5,15.0,154.9
1998,18.7,9.7,,14.2,11.8,59.1
1999,2.6,1.8,,10.0,7.2,45.8
2000,10.3,3.9,,10.0,10.1,45.7
2001,7.4,4.5,2.4,9.1,5.3,34.5
2002,5.8,1.4,2.3,5.2,1.9,22.5
2003,2.3,-0.1,2.1,4.7,0.7,15.3
2004,6.1,2.6,2.2,6.8,3.6,11.9
2005,6.0,1.6,2.2,3.5,2.2,9.1
2006,7.4,2.1,2.2,4.0,1.3,6.6
2007,7.6,2.9,2.2,7.9,2.6,4.9
2008,12.0,6.3,3.4,6.0,4.2,7.9
2009,2.5,0.6,0.3,4.0,4.0,5.6
2010,3.0,1.2,1.6,4.7,2.6,6.1
2011,3.4,2.2,2.7,3.9,3.9,5.8
2012,2.4,3.5,2.5,5.7,3.7,3.4
2013,0.4,1.4,1.4,1.7,0.8,3.2
2014,-1.6,0.4,0.4,0.0,0.1,1.4
2015,-1.1,0.3,0.2,0.1,-0.7,-0.4
2016,-1.3,0.6,0.2,0.4,-0.2,-1.1
2017,1.2,2.4,1.5,2.4,1.6,1.1
2018,2.6,2.0,1.8,2.9,1.2,4.1
2019,2.5,2.6,1.2,3.4,2.1,3.9
2020,1.2,3.3,0.3,3.4,3.7,2.3
2021,2.8,3.3,2.6,5.2,5.2,4.1
2022,13.0,14.8,8.4,15.3,13.2,12.0
2023,8.6,12.0,5.4,17.0,10.9,9.7
2024,2.6,2.7,2.4,3.7,3.7,5.8
2025,3.5,2.3,2.1,4.4,3.3,6.8
