year,BG,CZ,HU,PL,RO
2000,,,,,
2001,,,,,
2002,,,,,
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,6.29350558114199,15.2861658593061,26.0916621380543,3.88296143291345,4.41976998737353
2008,6.9730376031483,15.789935033416,24.9681371276167,5.29132736892917,6.92496899261142
2009,8.66603328283179,17.4435406790909,26.7279190713587,7.06915176344878,10.4128996910458
2010,8.40425157698357,17.8761073763384,25.9226978578988,7.71908956828028,12.5284153668524
2011,7.8156879376439,18.7153527152583,25.1793618785036,6.61892041429249,11.6358398403346
2012,8.04755392750563,18.5892063440962,21.2196345000288,7.81151383868806,8.17987951236471
2013,8.29440219336705,17.334368506368,19.3691523112004,8.74501767247922,7.3981832313214
2014,7.57800086773203,17.3712318028821,16.6901975118435,10.0686277870269,8.41047672645864
2015,8.45026671335107,17.7344072038512,17.08325844517,10.7755213322015,9.41414780224134
2016,8.98610305298707,16.8728021438796,17.5764530213374,10.7154228014203,10.3924513925489
2017,9.63608854549453,17.8292568189487,17.2630732776764,10.6673187252222,9.77959738479042
2018,10.3728902592084,19.5549977904499,16.8209858629646,10.3950333891095,10.0771915943775
2019,10.8523101760506,20.7104130233292,17.3787600622128,9.8529348361967,11.0725693077429
2020,11.3032725784223,22.58251525965,17.4648807221778,9.86616548997166,11.9370424850698
2021,10.9244735738213,20.3560909262553,16.3975126429279,9.44556514280936,11.4879408346099
2022,10.3826775418569,21.8353618959526,18.4048917258431,11.6325877772755,11.85733755602
2023,12.0578944173221,20.302723987427,18.8624569621863,12.1223189735947,12.6747408327123
2024,13.4299683659831,22.4045215279558,22.5745118826045,13.5099699026858,13.4497511493721
