year,BG,CZ,DE,HU,PL,RO
2000,14.3,4.5,4.4,8.7,8.1,18.0
2001,13.7,4.2,4.3,8.1,7.6,17.3
2002,13.2,4.0,4.2,7.6,7.3,17.1
2003,12.5,3.9,4.1,7.2,7.0,16.9
2004,11.8,3.7,4.0,6.8,6.8,16.4
2005,11.0,3.5,3.9,6.4,6.5,15.5
2006,10.4,3.3,3.8,6.1,6.3,14.3
2007,9.9,3.2,3.7,5.8,6.0,12.9
2008,9.5,3.0,3.6,5.5,5.8,11.8
2009,9.3,2.9,3.5,5.3,5.4,11.1
2010,9.1,2.7,3.5,5.1,5.1,10.5
2011,8.7,2.6,3.4,5.0,4.9,10.0
2012,8.3,2.6,3.4,4.8,4.7,9.5
2013,7.8,2.5,3.3,4.7,4.5,8.9
2014,7.3,2.5,3.3,4.5,4.3,8.3
2015,6.8,2.6,3.3,4.2,4.2,7.7
2016,6.4,2.6,3.3,4.0,4.1,7.1
2017,6.1,2.6,3.2,3.7,4.0,6.6
2018,5.8,2.5,3.2,3.6,3.9,6.1
2019,5.5,2.4,3.1,3.4,3.8,5.6
2020,5.3,2.4,3.1,3.4,3.8,5.4
2021,5.2,2.3,3.1,3.3,3.7,5.3
2022,5.0,2.2,3.1,3.2,3.7,5.4
