year,BG,CZ,EU,HU,PL,RO
2000,6424.14537295881,16332.2910408629,22111.5491828252,11871.6712053699,10721.2034293332,5850.08487880703
2001,6960.28610141959,17709.4523103293,23208.6934429094,13222.7298612624,11175.2853656421,6519.8885795129
2002,7786.40436399963,18344.0329427938,24225.4313179998,14532.3075182088,11841.2684087721,7162.29382627668
2003,8416.40773414609,19604.0917215381,24749.1124254968,15459.9630651172,12328.9011615853,7559.41625051161
2004,9200.48242563727,20988.1204818834,25910.573818836,16250.6523854316,13413.0543202274,8989.31783804604
2005,10291.428291498,22114.8363085202,26886.7839559325,17091.2761318193,13935.5573148214,9602.1244037474
2006,11405.5885694601,23914.1862443811,29209.4680724829,18361.9963871537,15204.8809890545,11554.0792439124
2007,12821.840411182,26267.6071527112,31125.3615011354,19089.2936988152,16833.2346946924,13702.7537733519
2008,14346.8484556532,27937.841568102,32581.0940879605,20708.7615120316,18372.37645483,16782.0334884689
2009,14188.1048821302,27713.2434564605,31953.2833870017,20691.4485224486,19300.1669900632,16640.7951853094
2010,14954.2543206827,28153.8518610007,32998.0893622106,21690.9866477738,20990.9122325468,17354.6748476713
2011,15747.3476582908,29237.1870959847,34669.9014097446,22992.2184657584,22808.5055268899,18803.8678810861
2012,16327.3382758143,29465.6074011894,35114.5801591309,23205.310668404,23728.1456821435,19807.5984490026
2013,16893.7689556096,31013.0082933831,36292.0767441292,24591.6380503055,24433.8914344877,19678.1108930755
2014,17990.7621498811,32743.489773169,37366.0319968513,25796.2100959256,25459.7392273761,20632.9924390362
2015,18896.102861651,34093.0280593748,38548.9260082937,26937.7320818864,26988.1069013509,21624.5618152909
2016,20745.8472094399,36445.0485732064,40899.5656413234,28178.9450366919,28359.6927346266,23905.1743665679
2017,22317.2548948063,39346.030564257,43027.5144476906,29728.0121568801,30170.2818974087,26943.3085419885
2018,23997.6876896184,41638.1831076596,45021.8469693059,32258.2577892511,32345.1066076225,29382.7567479407
2019,26765.7192049867,45614.0171132532,48583.5788891978,35627.2315520858,35882.3655065553,33425.326172666
2020,27351.8607448601,44839.4822099455,47566.4877983154,35583.5855675637,37089.3004256812,34193.8374521868
2021,30959.1118459807,47796.0337408466,51969.9654059153,38887.1909527154,41059.5847829682,37534.1559176911
2022,36320.1422295192,52946.9660854462,58483.7060713344,44365.9108128343,46777.5524519162,41979.2586767087
2023,38829.1913208102,55761.3798291375,61368.1097230199,46592.3856070073,48473.0940286419,45981.6027785222
2024,41969.4515718999,57285.4237001379,63585.4051981695,48552.4708092529,51262.5105756884,49076.5399383138
