year,BG,CZ,HU,PL,RO
2000,0.1,-3.5,-3.0,-4.0,-4.6
2001,0.7,-5.8,-4.0,-4.7,-3.5
2002,-1.1,-6.3,-8.8,-4.8,-1.9
2003,0.0,-6.9,-7.2,-6.0,-1.4
2004,1.8,-2.4,-6.6,-5.0,-1.1
2005,1.6,-3.1,-7.8,-3.9,-0.8
2006,2.7,-2.2,-9.3,-3.5,-2.1
2007,0.0,-0.7,-5.1,-1.9,-2.8
2008,1.4,-2.0,-3.8,-3.6,-5.4
2009,-4.4,-5.5,-4.8,-7.2,-9.5
2010,-3.7,-4.1,-4.4,-7.4,-7.1
2011,-1.7,-2.7,-5.2,-5.0,-5.6
2012,-0.8,-3.9,-2.3,-3.8,-3.8
2013,-0.7,-1.3,-2.6,-4.2,-2.3
2014,-5.4,-2.1,-2.8,-3.7,-1.2
2015,-1.9,-0.7,-2.0,-2.6,-0.5
2016,0.3,0.7,-1.8,-2.4,-2.5
2017,1.6,1.5,-2.5,-1.5,-2.5
2018,1.7,0.9,-2.0,-0.2,-2.8
2019,2.2,0.3,-2.0,-0.7,-4.4
2020,-3.8,-5.6,-7.5,-6.9,-9.3
2021,-4.0,-5.0,-7.1,-1.7,-7.2
2022,-2.9,-3.1,-6.2,-3.4,-6.5
2023,-2.0,-3.7,-7.0,-5.2,-6.6
2024,-3.0,-2.0,-5.1,-6.4,-9.3
