year,BG,CZ,HU,PL,RO
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,19.4,16.6,25.8,21.0,24.8
2010,25.1,18.3,25.9,24.0,28.0
2011,28.2,18.1,25.4,26.0,29.4
2012,31.2,19.5,27.8,26.8,28.2
2013,31.5,19.0,26.1,27.6,29.6
2014,26.9,15.9,20.1,24.1,30.0
2015,24.7,12.6,17.1,21.0,27.3
2016,20.4,10.5,12.7,17.8,25.9
2017,16.1,7.9,10.5,14.9,23.0
2018,15.9,6.7,9.9,11.8,20.5
2019,12.1,5.6,11.4,9.7,21.0
2020,17.5,8.0,12.7,10.8,21.6
2021,15.8,8.2,13.6,11.9,21.0
2022,10.6,6.8,10.6,10.8,22.8
2023,12.1,8.3,12.8,11.4,21.8
2024,12.3,9.1,15.2,10.8,23.9
