year,BG,CZ,HU,PL,RO
1990,100.0,100.0,100.0,100.0,100.0
1991,99.01446258549126,99.7602230834032,99.99433197724925,100.35530889919812,99.13506841161485
1992,97.95688121832163,99.86227125652802,99.95520526917903,100.66355237738233,98.24345358890795
1993,97.1786207133074,99.9661291032777,99.84128572348455,100.9200178574137,98.10982622710661
1994,96.84917533704149,100.00224515658273,99.70471336577602,101.1331963747162,97.96729870719277
1995,96.41876978384177,99.94094851091442,99.56600104029424,101.27054858123876,97.7692928167104
1996,95.92278943723936,99.82470359336342,99.39512172175252,101.34761863453761,97.48799610030845
1997,95.34058804428254,99.71718768976775,99.19508293242676,101.41397780816988,97.20773378484935
1998,94.70649573557381,99.62275562970594,98.96454478258507,101.45024313591887,97.00674106164448
1999,94.177011108487,99.52101713335118,98.68461386305826,101.44182032265829,96.8545806829503
2000,93.71302098381918,99.24233707251904,98.4285985293216,100.38794008477706,96.72929317875074
2001,91.86598425447929,98.87016365933427,98.2030825561009,100.3602497581918,95.38887764696197
2002,89.89333801620938,98.67962534917265,97.92384568017623,100.31377472128491,93.65852312974383
2003,89.18409334675646,98.65138669870531,97.64376052873784,100.24609308725283,92.98542981621928
2004,88.51346864046374,98.6814156679994,97.42777801555198,100.18745351381139,92.45711815466319
2005,87.84948514553716,98.81801215578096,97.23420732701831,100.14343185086048,91.88792610584464
2006,87.1847905018978,99.08596965845071,97.0829154612479,100.07999048668171,91.34518886113965
2007,86.5460871966965,99.6658684425339,96.93263574239724,100.02565678132767,90.00573446022696
2008,85.94072759001222,100.49594734720716,96.76305775560951,100.03929859009453,88.51832193445044
2009,85.38880736805123,101.0701364658429,96.61327929047151,100.10711142059483,87.7839489850695
2010,84.8285598240664,101.36504552490455,96.39516644900688,99.82160429035541,87.26409355122126
2011,84.28635481113324,101.5748321818035,96.12240731336878,99.87529250908574,86.83592483094549
2012,83.79956204709433,101.71706091584001,95.62727467970852,99.87505373151356,86.45020964936609
2013,82.12626353634298,101.75080600637449,95.16816483689783,99.81478732186602,86.12979533730845
2014,81.13486488002405,101.85798320100297,94.78551546425541,99.7401076682184,85.80777770378938
2015,80.11004223420444,102.05842149040656,94.44540518072702,99.67366190491708,85.40538280700642
2016,79.0767431545341,102.25461140162126,94.07910439071262,99.630826258039,84.9168481717071
2017,78.03673404265446,102.52660437970049,93.76101071256299,99.64326105929813,84.42743860561029
2018,76.97379611985792,102.87005527246475,93.57022583793234,99.6430616406664,83.93288720482668
2019,75.89477706004011,103.27594474398683,93.45320237501721,99.61872469580918,83.4918789828477
2020,75.13740368092868,103.52744099084954,93.21795051237768,98.4386728144282,83.03330318485585
2021,74.63965693268484,101.66854811433458,92.83731579408034,97.03699861104923,82.4161494123202
2022,74.15557112181071,103.27834473895459,92.58805774597002,96.61766845928274,82.09911845334648
2023,73.94336205188885,105.13566987682124,92.46382394118828,96.26502284838972,82.1532521026893
2024,73.88400407465272,105.53230775483857,92.17347272813502,95.92884501818935,82.1133500863186
