year,BG,CZ,HU,PL,RO
1990,8718289.0,10333355.0,10373988.0,38110782.0,23201835.0
1991,8632367.0,10308578.0,10373400.0,38246193.0,23001155.0
1992,8540164.0,10319123.0,10369341.0,38363667.0,22794284.0
1993,8472313.0,10329855.0,10357523.0,38461408.0,22763280.0
1994,8443591.0,10333587.0,10343355.0,38542652.0,22730211.0
1995,8406067.0,10327253.0,10328965.0,38594998.0,22684270.0
1996,8362826.0,10315241.0,10311238.0,38624370.0,22619004.0
1997,8312068.0,10304131.0,10290486.0,38649660.0,22553978.0
1998,8256786.0,10294373.0,10266570.0,38663481.0,22507344.0
1999,8210624.0,10283860.0,10237530.0,38660271.0,22472040.0
2000,8170172.0,10255063.0,10210971.0,38258629.0,22442971.0
2001,8009142.0,10216605.0,10187576.0,38248076.0,22131970.0
2002,7837161.0,10196916.0,10158608.0,38230364.0,21730496.0
2003,7775327.0,10193998.0,10129552.0,38204570.0,21574326.0
2004,7716860.0,10197101.0,10107146.0,38182222.0,21451748.0
2005,7658972.0,10211216.0,10087065.0,38165445.0,21319685.0
2006,7601022.0,10238905.0,10071370.0,38141267.0,21193760.0
2007,7545338.0,10298828.0,10055780.0,38120560.0,20882982.0
2008,7492561.0,10384603.0,10038188.0,38125759.0,20537875.0
2009,7444443.0,10443936.0,10022650.0,38151603.0,20367487.0
2010,7395599.0,10474410.0,10000023.0,38042794.0,20246871.0
2011,7348328.0,10496088.0,9971727.0,38063255.0,20147528.0
2012,7305888.0,10510785.0,9920362.0,38063164.0,20058035.0
2013,7160005.0,10514272.0,9872734.0,38040196.0,19983693.0
2014,7073572.0,10525347.0,9833038.0,38011735.0,19908979.0
2015,6984225.0,10546059.0,9797755.0,37986412.0,19815616.0
2016,6894139.0,10566332.0,9759755.0,37970087.0,19702267.0
2017,6803468.0,10594438.0,9726756.0,37974826.0,19588715.0
2018,6710798.0,10629928.0,9706964.0,37974750.0,19473970.0
2019,6616726.0,10671870.0,9694824.0,37965475.0,19371648.0
2020,6550696.0,10697858.0,9670419.0,37515748.0,19265250.0
2021,6507301.0,10505772.0,9630932.0,36981559.0,19122059.0
2022,6465097.0,10672118.0,9605074.0,36821749.0,19048502.0
2023,6446596.0,10864042.0,9592186.0,36687353.0,19061062.0
2024,6441421.0,10905028.0,9562065.0,36559233.0,19051804.0
