year,BG,CZ,HU,PL,RO
1990,50.3478597524119,51.4682000296388,50.6817945127303,54.0315528240809,51.2177047842213
1991,50.296122343378,50.4222691856071,49.8950356061072,53.6751792573387,50.5500429373324
1992,50.0909667359813,49.4534780722107,49.210057368222,53.1887384775525,49.809172157925
1993,49.8586018171276,48.5043761960124,48.6097008227858,52.6595648829808,49.1939574929274
1994,49.5739486357535,47.555428311955,48.1545911378721,52.0799767263411,48.6728374369512
1995,49.2469180561765,46.6961642740877,47.861766173196,51.4084299288673,48.1985280018648
1996,48.893866167198,46.0014929593971,47.5899073802118,50.6519973757847,47.7772912629072
1997,48.4910913219886,45.3500084988613,47.302811074816,49.7461925000558,47.5790604516588
1998,48.1202307484903,44.7037588159405,47.1061418061155,48.5986708188556,47.6885523271894
1999,47.8773643949492,44.0307387375375,46.862467414201,47.4582116617726,47.6479847716283
2000,47.6182113313473,43.3124778062693,46.5134969001209,46.3835221191094,47.3028700041796
2001,47.1201047475104,42.5829572656062,46.0796947512792,45.35587779018,46.8137486101034
2002,46.546184753975,41.8905086615567,45.7484195392198,44.4836130007559,46.2023543760568
2003,45.9458054217853,41.232284481833,45.5260957931616,43.6609246648372,45.5990821741001
2004,45.3660504870331,40.7022236719591,45.2882759790502,42.9286318913617,45.0713374974319
2005,44.9424750943672,40.3846714345027,45.1149712598825,42.282987328555,44.7235013938328
2006,44.7386390684655,40.2500196562795,44.9804921957987,41.6701569210444,44.6924990146748
2007,44.7751193693499,40.3686281575802,44.9578544845588,41.1182419857251,44.8659733655323
2008,45.0373435453245,40.8263492689023,45.0548815371194,40.7089419389074,45.1708039916349
2009,45.5120491818659,41.5983684904551,45.2408244250738,40.2461435125724,45.6558486393944
2010,46.2076375688598,42.5753401685329,45.3474391729633,40.1427258410617,46.1712166992167
2011,47.1333798260468,43.8657197049133,45.4921371252785,40.6038867481198,46.6849893722241
2012,48.1663471826867,45.474711089563,45.9183193176449,41.1812976961914,47.0859211857548
2013,49.3086554346026,47.0766511876963,46.5518564551724,41.9187994358197,47.3962302449571
2014,50.5579218085755,48.5926586211395,47.3832344986651,42.8060356896606,48.0460231839618
2015,51.7845407318803,50.0836370757165,48.2516970384934,43.8362521585049,48.9572601796888
2016,52.9074899638477,51.6066775434751,49.1419689923618,45.0280416831877,49.8906722812143
2017,53.9436319509152,53.1389365450804,49.9595066798946,46.3552256954314,50.9128670248701
2018,54.9714988000953,54.5796531953634,50.7744401660746,47.7612534407976,51.9746076994291
2019,55.9246760959011,55.9088220310965,51.8661548498973,49.2108489415536,53.0183319640266
2020,56.5399504860587,56.9779595499788,53.0182854466453,50.5227064080951,54.1194231232454
2021,56.7066350040951,57.7438182636634,53.7758455735364,51.5090347483071,54.8586318110313
2022,56.8295907451296,57.3960588293767,54.2213783062208,52.306617945756,55.1136103150113
2023,57.1601451805102,56.7878159701296,54.5703480456464,53.040171083641,55.3509300976065
2024,57.4922255368163,56.8447265644664,54.7857651144164,53.7259735061021,55.5131705543589
