year,BG,CZ,HU,PL,RO
2000,-5.31244317187738,-4.3260595580812,-8.82808863842537,-5.98021918224644,-3.63721875382544
2001,-5.6731506146362,-4.80305110479948,-6.11450861059176,-3.09972932809545,-5.51799372952363
2002,-1.94499895270126,-5.16274750389644,-6.44836058797406,-2.77624121851834,-3.31050332793727
2003,-4.83403725480626,-5.76037419921863,-8.26371787576548,-2.50410381576022,-5.72774106022585
2004,-6.38864100782165,-3.70977039606132,-9.08123363089424,-5.96912639653316,-8.5123232185601
2005,-11.2057222505032,-2.0469317715426,-9.88681019702465,-3.30488692842897,-8.67463205439941
2006,-17.0539269972642,-2.55771892805224,-7.28544270320023,-4.64906335604984,-10.6661036918405
2007,-25.74090199742,-4.70721210136984,-7.28636440088967,-6.68396289819493,-13.7032326042104
2008,-21.7973306729886,-1.86377838067906,-7.26832036226062,-6.74648774312839,-11.658522565437
2009,-8.18150231666307,-2.35286468331655,-1.21974951373381,-3.94518857698649,-4.72925693261463
2010,-1.9030145044976,-3.48120039690542,-0.188218208390541,-5.16657584018312,-4.98543687917278
2011,0.47240619236303,-2.1691537824734,0.428842717780173,-5.11055687403888,-4.81588301986922
2012,-0.973570351440539,-1.501449440317,1.0790451227521,-4.11182485634079,-4.57804292376289
2013,1.21578102455384,-0.519137991701544,2.99109062228032,-1.98155143805472,-1.13746709997941
2014,2.19248481630297,0.217020094001342,0.747477578049868,-2.97288032663133,-0.341464408053705
2015,0.0183981701477746,0.446971205922034,2.11856059497338,-1.3254755565429,-0.637491637323498
2016,3.10225979122961,1.74734921729713,4.40234047330024,-1.06875807090352,-2.10324885883263
2017,3.24645323045642,1.35301705500193,1.71954655139941,-1.18631982461877,-3.19415712159883
2018,0.574532429686938,0.451859774047593,0.340906702488933,-1.96597240687912,-4.60748728741797
2019,1.65792966363519,0.356195094422181,-0.606737568975118,-0.272945793712772,-4.86977887140915
2020,1.46739369937022,1.7852008079583,-1.03428088875148,2.39835922164097,-5.14043847567815
2021,0.247503356753086,-2.04624111898244,-4.28505680487641,-1.30156521580162,-7.21435033247958
2022,-1.36191844989855,-4.52048439437013,-8.86819485242409,-2.27455866454271,-9.25297876069207
2023,-1.15400085110463,-0.125406557037842,-0.00361531860726958,1.53683077845046,-7.03377443891132
2024,-1.32219483858324,1.74244358000018,1.58180029565553,0.30454349270969,-8.15745555807555
