year,BG,CZ,HU,PL,RO
2000,63.7,60.5,58.1,47.4,61.3
2001,65.1,65.0,60.3,47.7,63.7
2002,68.1,66.3,62.2,48.3,63.5
2003,77.0,68.7,66.5,52.6,63.0
2004,86.9,75.9,71.6,59.4,64.7
2005,92.9,78.9,76.5,62.0,62.7
2006,98.5,85.4,84.0,69.5,68.5
2007,108.0,94.5,90.7,76.1,75.5
2008,108.7,92.8,90.7,78.1,77.6
2009,88.8,80.2,74.6,75.0,73.3
2010,90.6,87.1,82.5,83.4,77.3
2011,95.9,92.2,87.1,89.0,83.1
2012,95.6,91.4,85.6,90.1,85.1
2013,95.5,91.3,86.5,92.2,91.8
2014,97.2,95.9,93.1,95.4,97.3
2015,100.0,100.0,100.0,100.0,100.0
2016,102.7,103.4,100.9,102.8,103.1
2017,106.2,110.1,105.6,109.6,111.2
2018,106.5,113.5,109.3,116.1,115.1
2019,107.1,113.2,115.4,120.9,112.5
2020,100.8,105.1,108.5,119.4,102.1
2021,110.7,112.4,118.9,136.7,109.3
2022,124.8,115.2,126.1,151.2,107.3
2023,113.9,114.3,119.2,148.3,102.1
2024,,,,,
2025,,,,,
