year,BG,CZ,DE,HU,PL,RO
2000,9.05,6.72,3.97,5.22,5.95,5.51
2001,9.08,6.69,4.02,5.13,5.92,5.33
2002,8.36,6.67,3.94,4.9,5.77,5.22
2003,8.14,6.72,3.96,4.81,5.72,5.31
2004,7.43,6.56,3.94,4.57,5.47,4.69
2005,7.34,6.08,3.89,4.71,5.35,4.46
2006,7.08,5.83,3.86,4.49,5.29,4.28
2007,6.51,5.51,3.56,4.39,4.92,3.97
2008,6.05,5.26,3.57,4.29,4.79,3.61
2009,5.49,5.19,3.53,4.36,4.48,3.37
2010,5.5,5.37,3.57,4.48,4.65,3.52
2011,5.8,5.08,3.26,4.3,4.45,3.44
2012,5.5,5.09,3.27,4.15,4.24,3.29
2013,5.12,5.09,3.32,3.94,4.2,3.0
2014,5.32,4.83,3.11,3.77,3.9,2.85
2015,5.36,4.59,3.08,3.85,3.77,2.78
2016,5.07,4.43,3.02,3.81,3.83,2.7
2017,5.11,4.39,2.95,3.81,3.81,2.62
2018,4.97,4.26,2.85,3.61,3.77,2.49
2019,4.72,4.07,2.76,3.46,3.48,2.37
2020,4.68,4.06,2.69,3.56,3.44,2.39
2021,4.72,4.16,2.7,3.48,3.42,2.4
2022,4.72,3.98,2.47,3.12,3.13,2.12
