year,BG,CZ,DE,HU,PL,RO
2000,2459.9,3906.0,6452.9,3632.7,2534.8,1927.8
2001,2898.5,4508.6,7055.2,4884.9,3056.4,3029.4
2002,3156.3,4324.0,6251.5,3963.2,3240.8,2512.5
2003,2371.3,3940.8,5764.5,3038.9,2865.4,2534.9
2004,4077.8,5443.6,7355.3,5589.9,3537.6,3997.4
2005,3387.0,4741.6,6723.2,5526.6,3233.1,3334.2
2006,3572.5,4159.0,6486.6,5097.3,2598.2,3102.3
2007,2523.7,4522.0,6182.9,3492.0,3249.5,1645.2
2008,4094.3,5362.8,7118.8,5800.2,3217.2,3247.3
2009,3413.0,5073.9,7201.4,4715.2,3475.1,2824.8
2010,4031.0,4695.8,6685.2,4719.0,3584.0,3329.7
2011,4251.2,5592.6,6458.3,5105.1,3430.4,3993.0
2012,3671.8,4529.5,6964.9,3761.1,3704.9,2364.1
2013,4561.0,5309.3,7318.0,4831.5,3804.4,3863.2
2014,4860.7,6219.8,8050.3,5897.0,4268.0,4069.2
2015,4669.6,5880.6,7497.8,5243.4,3727.8,3543.9
2016,4817.8,6317.0,7182.1,6486.6,4033.5,3971.3
2017,5479.7,5497.5,7269.9,5835.5,4199.6,5227.7
2018,5561.7,5206.9,6178.9,6286.2,3366.7,5997.2
2019,5774.7,5653.2,6952.0,6365.8,3605.3,5457.5
2020,4373.4,6042.7,7133.3,6659.1,4691.7,3398.6
2021,5949.6,6113.0,6998.1,5920.0,4562.5,5187.8
2022,5151.2,5929.6,7126.1,4032.1,4861.5,3634.1
