year,BG,CZ,DE,HU,PL,RO
2000,94.51976013,342.92108154,2336.36230469,313.10858154,238.00448608,69.89345551
2001,119.82997894,388.54403687,2338.12231445,359.69750977,282.8210144,78.8175354
2002,148.1479187,497.74203491,2557.53564453,473.12783813,315.83145142,96.57698822
2003,195.74369812,640.66040039,3139.36328125,682.86566162,339.33520508,143.54553223
2004,233.11332703,746.32891846,3447.26977539,798.45361328,392.00338745,190.7950592
2005,267.74139404,852.65246582,3544.56616211,895.20330811,465.70019531,254.52961731
2006,294.10891724,942.11804199,3681.3659668,893.20300293,524.09747314,291.00408936
2007,361.23498535,1110.17663574,4162.6875,1003.25805664,660.92468262,415.06790161
2008,455.54058838,1449.33679199,4647.31005859,1117.20227051,892.59698486,521.31561279
2009,459.30020142,1442.24279785,4655.171875,943.68774414,759.60577393,449.37692261
2010,484.75228882,1509.44726563,4592.07128906,983.11083984,809.19940186,472.20751953
2011,555.86419678,1649.15905762,5016.23583984,1063.43237305,866.09466553,426.59973145
2012,558.64794922,1509.77526855,4744.87011719,961.1383667,815.1418457,401.67105103
2013,553.68725586,1508.79907227,5080.62402344,991.98742676,878.08837891,495.23623657
2014,616.16296387,1512.59326172,5287.34423828,1008.92950439,911.29815674,503.34753418
2015,534.21466064,1308.8013916,4605.59033203,874.04138184,803.95965576,442.24038696
2016,579.76715088,1374.9005127,4723.32421875,918.94506836,816.08618164,476.24505615
2017,647.56402588,1516.75012207,5039.35302734,990.90808105,909.57818604,555.11309814
2018,719.78033447,1750.81188965,5473.55712891,1087.64611816,978.73565674,687.15411377
2019,733.06878662,1805.44030762,5447.31787109,1062.15869141,1014.03820801,738.5581665
2020,906.54833984,2106.28027344,5906.80615234,1182.54138184,1025.98486328,809.58880615
2021,1109.10290527,2538.03344727,6653.58349609,1392.97460938,1183.30236816,963.01287842
2022,1066.69189453,2431.08496094,6226.14208984,1228.00231934,1219.29125977,902.2677002
