year,BG,CZ,DE,HU,PL,RO
2000,71.6634146341463,74.9682926829268,77.9268292682927,71.2463414634146,73.7487804878049,71.1634146341463
2001,71.7682926829268,75.1731707317073,78.3292682926829,72.2487804878049,74.2,71.1609756097561
2002,71.8658536585366,75.2219512195122,78.2292682926829,72.3487804878049,74.4975609756098,71.009756097561
2003,72.0658536585366,75.1707317073171,78.3804878048781,72.3,74.5975609756098,71.309756097561
2004,72.5634146341463,75.7219512195122,78.6804878048781,72.6487804878049,74.8463414634146,71.5609756097561
2005,72.5609756097561,75.9243902439025,78.9317073170732,72.6487804878049,74.9951219512195,71.9121951219512
2006,72.6121951219512,76.5243902439024,79.1317073170732,73.0975609756098,75.1439024390244,72.1634146341463
2007,72.6634146341463,76.7243902439025,79.5341463414634,73.1512195121951,75.2439024390244,72.5658536585366
2008,72.9634146341463,76.9756097560976,79.7365853658537,73.7024390243903,75.5439024390244,72.5658536585366
2009,73.4121951219512,77.0780487804878,79.8365853658537,73.9048780487805,75.6951219512195,73.309756097561
2010,73.5121951219512,77.4243902439025,79.9878048780488,74.2073170731707,76.2463414634146,73.4585365853659
2011,74.1634146341463,77.8731707317073,80.4365853658537,74.8585365853659,76.6951219512195,74.409756097561
2012,74.3146341463415,78.0756097560976,80.5390243902439,75.0634146341463,76.7463414634146,74.4121951219512
2013,74.8609756097561,78.1756097560976,80.490243902439,75.5658536585366,77.0,75.0634146341463
2014,74.4658536585366,78.8243902439024,81.090243902439,75.7634146341463,77.6024390243903,74.909756097561
2015,74.6146341463415,78.5780487804878,80.6414634146341,75.5682926829269,77.4512195121951,74.9121951219512
2016,74.8121951219512,79.0268292682927,80.990243902439,76.0634146341464,77.8512195121951,75.209756097561
2017,74.8146341463415,78.9780487804878,80.9926829268293,75.8170731707317,77.7536585365854,75.209756097561
2018,74.9634146341464,79.0292682926829,80.8926829268293,76.0658536585366,77.6024390243903,75.3585365853659
2019,75.1121951219512,79.2292682926829,81.2926829268293,76.3195121951219,77.9048780487805,75.6073170731707
2020,73.3560975609756,78.2268292682927,81.0414634146342,75.419512195122,76.4,74.2536585365854
2021,71.2121951219512,77.2219512195122,80.790243902439,74.0658536585366,75.3512195121951,72.809756097561
2022,74.1609756097561,78.9292682926829,80.6080487804878,75.8682926829268,77.1560975609756,75.1536585365854
